Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,7,254.12,1
Sep 2014,2014-09-30,6,9,0.0,0
Oct 2014,2014-10-31,6,11,0.0,0
Nov 2014,2014-11-28,6,12,0.0,0
Dec 2014,2014-12-31,6,11,164.69,1
Jan 2015,2015-01-30,6,10,187.83,1
Feb 2015,2015-02-27,6,9,263.37,1
Mar 2015,2015-03-31,6,8,552.03,1
Apr 2015,2015-04-30,6,11,1177.09,1
May 2015,2015-05-29,6,11,1206.76,2
Jun 2015,2015-06-30,6,10,1172.16,2
Jul 2015,2015-07-31,6,12,1291.3,2
Aug 2015,2015-08-31,6,11,1280.83,3
Sep 2015,2015-09-30,6,12,1234.64,1
Oct 2015,2015-10-30,6,12,1306.14,1
Nov 2015,2015-11-30,6,14,1287.83,1
Dec 2015,2015-12-31,6,13,1311.76,2
Jan 2016,2016-01-29,6,11,1148.71,3
Feb 2016,2016-02-29,6,12,1071.01,1
Mar 2016,2016-03-31,6,11,675.42,2
Apr 2016,2016-04-29,6,12,1232.91,1
May 2016,2016-05-31,6,12,0.0,0
Jun 2016,2016-06-30,6,12,41.07,1
Jul 2016,2016-07-29,6,13,443.29,1
Aug 2016,2016-08-31,6,13,96.14,1
Sep 2016,2016-09-30,6,15,19.05,1
Oct 2016,2016-10-28,6,17,1446.18,1
Nov 2016,2016-11-30,6,17,1389.25,2
Dec 2016,2016-12-30,6,15,680.9,2
Jan 2017,2017-01-31,6,15,3.38,1
Feb 2017,2017-02-28,6,15,0.0,0
Mar 2017,2017-03-31,6,15,0.0,0
Apr 2017,2017-04-28,6,15,0.0,0
May 2017,2017-05-31,6,15,0.0,0
Jun 2017,2017-06-30,6,15,1014.42,1
Jul 2017,2017-07-31,6,14,1806.34,3
Aug 2017,2017-08-31,6,13,1841.89,2
Sep 2017,2017-09-29,6,13,1072.42,1
Oct 2017,2017-10-31,6,13,0.0,0
Nov 2017,2017-11-30,6,13,0.0,0
Dec 2017,2017-12-29,6,13,189.47,1
Jan 2018,2018-01-31,6,13,683.28,1
Feb 2018,2018-02-28,6,13,0.0,0
Mar 2018,2018-03-28,6,13,1002.65,1
Apr 2018,2018-04-30,6,13,0.0,0
May 2018,2018-05-31,6,15,2274.04,1
Jun 2018,2018-06-29,6,16,591.73,1
Jul 2018,2018-07-31,6,14,2407.72,5
Aug 2018,2018-08-31,6,15,2803.73,1
Sep 2018,2018-09-28,6,16,2329.87,1
Oct 2018,2018-10-31,6,16,0.0,0
Nov 2018,2018-11-30,6,16,2469.07,2
Dec 2018,2018-12-31,6,15,2570.25,2
Jan 2019,2019-01-31,6,14,1775.64,2
Feb 2019,2019-02-28,6,14,1590.68,1
Mar 2019,2019-03-29,6,14,0.0,0
Apr 2019,2019-04-30,6,14,2884.77,5
May 2019,2019-05-31,6,12,3074.93,5
Jun 2019,2019-06-28,6,12,2321.65,2
Jul 2019,2019-07-31,6,12,2813.07,2
Aug 2019,2019-08-30,6,12,2882.66,2
Sep 2019,2019-09-30,6,13,3294.51,3
Oct 2019,2019-10-31,6,12,1748.6,3
Nov 2019,2019-11-29,6,10,1301.62,2
Dec 2019,2019-12-31,6,10,0.0,0
Jan 2020,2020-01-31,6,12,3048.9,1
Feb 2020,2020-02-28,6,13,486.53,1
Mar 2020,2020-03-31,6,13,0.0,0
Apr 2020,2020-04-30,6,16,2282.41,3
May 2020,2020-05-29,6,15,2113.72,2
Jun 2020,2020-06-30,6,14,2041.67,2
Jul 2020,2020-07-30,6,14,2492.7,4
Aug 2020,2020-08-31,6,14,0.0,0
Sep 2020,2020-09-30,6,14,0.0,0
Oct 2020,2020-10-30,6,14,0.0,0
Nov 2020,2020-11-27,6,16,693.86,1
Dec 2020,2020-12-31,6,16,0.0,0
Jan 2021,2021-01-29,6,16,0.0,0
Feb 2021,2021-02-26,6,18,532.23,1
Mar 2021,2021-03-31,6,18,0.0,0
Apr 2021,2021-04-30,6,18,0.0,0
May 2021,2021-05-31,6,18,2385.61,2
Jun 2021,2021-06-30,6,18,3413.03,2
Jul 2021,2021-07-30,6,21,5805.98,2
Aug 2021,2021-08-31,6,21,6487.49,2
Sep 2021,2021-09-30,6,22,6571.99,1
Oct 2021,2021-10-29,6,21,6473.77,2
Nov 2021,2021-11-30,6,21,6924.01,1
Dec 2021,2021-12-31,6,21,9642.98,1
Jan 2022,2022-01-31,6,21,8761.93,2
Feb 2022,2022-02-28,6,22,4134.9,1
Mar 2022,2022-03-31,6,21,116.02,1
Apr 2022,2022-04-29,6,19,1488.52,2
May 2022,2022-05-31,6,19,0.0,0
Jun 2022,2022-06-30,6,19,0.0,0
Jul 2022,2022-07-29,6,21,7876.67,4
Aug 2022,2022-08-30,6,21,7686.92,1
Sep 2022,2022-09-30,6,19,5660.45,4
Oct 2022,2022-10-31,6,19,0.0,0
Nov 2022,2022-11-30,6,19,996.75,1
Dec 2022,2022-12-30,6,17,3813.68,3
Jan 2023,2023-01-31,6,20,6757.43,2
Feb 2023,2023-02-28,6,22,1083.21,1
Mar 2023,2023-03-31,6,23,182.31,1
Apr 2023,2023-04-28,6,23,236.15,2
May 2023,2023-05-31,6,24,1934.47,1
Jun 2023,2023-06-30,6,24,0.0,0
Jul 2023,2023-07-31,6,25,8388.93,4
Aug 2023,2023-08-31,6,25,8696.37,1
Sep 2023,2023-09-29,6,26,8944.71,1
Oct 2023,2023-10-31,6,27,8893.16,1
Nov 2023,2023-11-30,6,28,9950.15,3
Dec 2023,2023-12-29,6,28,10600.25,4
Jan 2024,2024-01-31,6,25,11271.92,5
Feb 2024,2024-02-29,6,22,11137.86,6
Mar 2024,2024-03-28,6,22,9891.87,2
Apr 2024,2024-04-30,6,22,10455.64,4
May 2024,2024-05-31,6,22,10142.58,2
Jun 2024,2024-06-28,6,20,9698.69,4
Jul 2024,2024-07-31,6,20,12465.12,4
Aug 2024,2024-08-30,6,21,12707.36,1
Sep 2024,2024-09-30,6,23,12996.87,2
Oct 2024,2024-10-31,6,24,1733.8,1
Nov 2024,2024-11-29,6,23,10795.54,2
Dec 2024,2024-12-31,6,22,3498.01,2
Jan 2025,2025-01-31,6,22,5969.6,1
Feb 2025,2025-02-28,6,22,0.0,0
Mar 2025,2025-03-31,6,25,1541.07,1
Apr 2025,2025-04-30,6,23,11371.96,6
May 2025,2025-05-30,6,21,7590.07,3
Jun 2025,2025-06-30,6,21,2909.49,1
Jul 2025,2025-07-31,6,20,13748.92,5
Aug 2025,2025-08-29,6,19,14251.46,2
Sep 2025,2025-09-30,6,20,14250.6,1
