Date,Portfolio_Value,Bank,Month,Equity
2014-07-01,1000.0,11000.0,Jul 2014,12000.0
2014-07-02,1017.87,11000.0,Jul 2014,12017.87
2014-07-03,1023.89,11000.0,Jul 2014,12023.89
2014-07-04,1035.51,11000.0,Jul 2014,12035.51
2014-07-07,1047.02,11000.0,Jul 2014,12047.02
2014-07-08,1012.03,11000.0,Jul 2014,12012.03
2014-07-09,1007.18,11000.0,Jul 2014,12007.18
2014-07-10,988.56,11000.0,Jul 2014,11988.56
2014-07-11,980.92,11000.0,Jul 2014,11980.92
2014-07-14,982.38,11000.0,Jul 2014,11982.38
2014-07-15,994.75,11000.0,Jul 2014,11994.75
2014-07-16,989.14,11000.0,Jul 2014,11989.14
2014-07-17,1009.11,11000.0,Jul 2014,12009.11
2014-07-18,1006.48,11000.0,Jul 2014,12006.48
2014-07-21,1014.11,11000.0,Jul 2014,12014.11
2014-07-22,1021.99,11000.0,Jul 2014,12021.99
2014-07-23,1052.5,11000.0,Jul 2014,12052.5
2014-07-24,1068.04,11000.0,Jul 2014,12068.04
2014-07-25,1042.87,11000.0,Jul 2014,12042.869999999999
2014-07-28,1146.36,11000.0,Jul 2014,12146.36
2014-07-30,1142.51,11000.0,Jul 2014,12142.51
2014-07-31,1143.72,11000.0,Jul 2014,12143.72
2014-08-01,2126.18,10000.0,Aug 2014,12126.18
2014-08-04,2149.25,10000.0,Aug 2014,12149.25
2014-08-05,2160.31,10000.0,Aug 2014,12160.31
2014-08-06,2150.66,10000.0,Aug 2014,12150.66
2014-08-07,2134.2,10000.0,Aug 2014,12134.2
2014-08-08,2104.22,10000.0,Aug 2014,12104.22
2014-08-11,2109.73,10000.0,Aug 2014,12109.73
2014-08-12,2120.51,10000.0,Aug 2014,12120.51
2014-08-13,2089.82,10000.0,Aug 2014,12089.82
2014-08-14,2123.05,10000.0,Aug 2014,12123.05
2014-08-18,2142.42,10000.0,Aug 2014,12142.42
2014-08-19,2172.7,10000.0,Aug 2014,12172.7
2014-08-20,2178.94,10000.0,Aug 2014,12178.94
2014-08-21,2183.72,10000.0,Aug 2014,12183.72
2014-08-22,2173.77,10000.0,Aug 2014,12173.77
2014-08-25,2161.88,10000.0,Aug 2014,12161.880000000001
2014-08-26,2189.36,10000.0,Aug 2014,12189.36
2014-08-27,2238.79,10000.0,Aug 2014,12238.79
2014-08-28,2218.68,10000.0,Aug 2014,12218.68
2014-09-01,3211.76,9000.0,Sep 2014,12211.76
2014-09-02,3205.0,9000.0,Sep 2014,12205.0
2014-09-03,3230.53,9000.0,Sep 2014,12230.53
2014-09-04,3231.95,9000.0,Sep 2014,12231.95
2014-09-05,3245.25,9000.0,Sep 2014,12245.25
2014-09-08,3319.94,9000.0,Sep 2014,12319.94
2014-09-09,3309.14,9000.0,Sep 2014,12309.14
2014-09-10,3278.66,9000.0,Sep 2014,12278.66
2014-09-11,3257.78,9000.0,Sep 2014,12257.78
2014-09-12,3299.83,9000.0,Sep 2014,12299.83
2014-09-15,3262.46,9000.0,Sep 2014,12262.46
2014-09-16,3200.16,9000.0,Sep 2014,12200.16
2014-09-17,3217.26,9000.0,Sep 2014,12217.26
2014-09-18,3262.6,9000.0,Sep 2014,12262.6
2014-09-19,3255.71,9000.0,Sep 2014,12255.71
2014-09-22,3275.42,9000.0,Sep 2014,12275.42
2014-09-23,3238.19,9000.0,Sep 2014,12238.19
2014-09-24,3223.2,9000.0,Sep 2014,12223.2
2014-09-25,3201.91,9000.0,Sep 2014,12201.91
2014-09-26,3224.02,9000.0,Sep 2014,12224.02
2014-09-29,3251.96,9000.0,Sep 2014,12251.96
2014-09-30,3252.44,9000.0,Sep 2014,12252.44
2014-10-01,4274.94,8000.0,Oct 2014,12274.939999999999
2014-10-07,4299.28,8000.0,Oct 2014,12299.279999999999
2014-10-08,4258.67,8000.0,Oct 2014,12258.67
2014-10-09,4300.62,8000.0,Oct 2014,12300.619999999999
2014-10-10,4251.99,8000.0,Oct 2014,12251.99
2014-10-13,4254.94,8000.0,Oct 2014,12254.939999999999
2014-10-14,4247.44,8000.0,Oct 2014,12247.439999999999
2014-10-16,4184.72,8000.0,Oct 2014,12184.720000000001
2014-10-17,4163.49,8000.0,Oct 2014,12163.49
2014-10-20,4182.05,8000.0,Oct 2014,12182.05
2014-10-21,4238.94,8000.0,Oct 2014,12238.939999999999
2014-10-22,4237.43,8000.0,Oct 2014,12237.43
2014-10-23,4237.43,8000.0,Oct 2014,12237.43
2014-10-27,4245.92,8000.0,Oct 2014,12245.92
2014-10-28,4212.5,8000.0,Oct 2014,12212.5
2014-10-29,4255.95,8000.0,Oct 2014,12255.95
2014-10-30,4306.52,8000.0,Oct 2014,12306.52
2014-10-31,4331.75,8000.0,Oct 2014,12331.75
2014-11-03,5361.36,7000.0,Nov 2014,12361.36
2014-11-05,5345.17,7000.0,Nov 2014,12345.17
2014-11-07,5368.25,7000.0,Nov 2014,12368.25
2014-11-10,5393.67,7000.0,Nov 2014,12393.67
2014-11-11,5423.59,7000.0,Nov 2014,12423.59
2014-11-12,5478.25,7000.0,Nov 2014,12478.25
2014-11-13,5502.22,7000.0,Nov 2014,12502.220000000001
2014-11-14,5491.44,7000.0,Nov 2014,12491.439999999999
2014-11-17,5512.6,7000.0,Nov 2014,12512.6
2014-11-18,5522.97,7000.0,Nov 2014,12522.970000000001
2014-11-19,5599.25,7000.0,Nov 2014,12599.25
2014-11-20,5647.89,7000.0,Nov 2014,12647.89
2014-11-21,5668.23,7000.0,Nov 2014,12668.23
2014-11-24,5655.92,7000.0,Nov 2014,12655.92
2014-11-25,5581.28,7000.0,Nov 2014,12581.279999999999
2014-11-26,5579.29,7000.0,Nov 2014,12579.29
2014-11-27,5626.86,7000.0,Nov 2014,12626.86
2014-11-28,5686.64,7000.0,Nov 2014,12686.64
2014-12-01,6708.78,6000.0,Dec 2014,12708.779999999999
2014-12-02,6664.8,6000.0,Dec 2014,12664.8
2014-12-03,6695.46,6000.0,Dec 2014,12695.46
2014-12-04,6805.65,6000.0,Dec 2014,12805.65
2014-12-05,6737.56,6000.0,Dec 2014,12737.560000000001
2014-12-08,6702.9,6000.0,Dec 2014,12702.9
2014-12-09,6700.96,6000.0,Dec 2014,12700.96
2014-12-10,6702.06,6000.0,Dec 2014,12702.060000000001
2014-12-11,6607.9,6000.0,Dec 2014,12607.9
2014-12-12,6543.01,6000.0,Dec 2014,12543.01
2014-12-15,6542.89,6000.0,Dec 2014,12542.89
2014-12-16,6381.81,6000.0,Dec 2014,12381.810000000001
2014-12-17,6274.2,6000.0,Dec 2014,12274.2
2014-12-18,6356.93,6000.0,Dec 2014,12356.93
2014-12-19,6362.21,6000.0,Dec 2014,12362.21
2014-12-22,6410.34,6000.0,Dec 2014,12410.34
2014-12-23,6407.98,6000.0,Dec 2014,12407.98
2014-12-24,6369.87,6000.0,Dec 2014,12369.869999999999
2014-12-26,6433.98,6000.0,Dec 2014,12433.98
2014-12-29,6458.56,6000.0,Dec 2014,12458.560000000001
2014-12-30,6478.75,6000.0,Dec 2014,12478.75
2014-12-31,6500.67,6000.0,Dec 2014,12500.67
2015-01-01,7528.31,5000.0,Jan 2015,12528.310000000001
2015-01-02,7537.44,5000.0,Jan 2015,12537.439999999999
2015-01-05,7550.47,5000.0,Jan 2015,12550.470000000001
2015-01-06,7388.92,5000.0,Jan 2015,12388.92
2015-01-07,7380.78,5000.0,Jan 2015,12380.779999999999
2015-01-08,7378.37,5000.0,Jan 2015,12378.369999999999
2015-01-09,7436.92,5000.0,Jan 2015,12436.92
2015-01-12,7513.61,5000.0,Jan 2015,12513.61
2015-01-13,7555.07,5000.0,Jan 2015,12555.07
2015-01-14,7594.79,5000.0,Jan 2015,12594.79
2015-01-15,7609.32,5000.0,Jan 2015,12609.32
2015-01-16,7608.22,5000.0,Jan 2015,12608.220000000001
2015-01-19,7672.06,5000.0,Jan 2015,12672.060000000001
2015-01-20,7696.57,5000.0,Jan 2015,12696.57
2015-01-21,7687.79,5000.0,Jan 2015,12687.79
2015-01-22,7735.93,5000.0,Jan 2015,12735.93
2015-01-23,7668.16,5000.0,Jan 2015,12668.16
2015-01-27,7653.02,5000.0,Jan 2015,12653.02
2015-01-28,7783.8,5000.0,Jan 2015,12783.8
2015-01-29,7695.93,5000.0,Jan 2015,12695.93
2015-01-30,7669.63,5000.0,Jan 2015,12669.630000000001
2015-02-02,8601.18,4000.0,Feb 2015,12601.18
2015-02-03,8634.4,4000.0,Feb 2015,12634.4
2015-02-04,8623.3,4000.0,Feb 2015,12623.3
2015-02-05,8601.33,4000.0,Feb 2015,12601.33
2015-02-06,8586.66,4000.0,Feb 2015,12586.66
2015-02-09,8596.54,4000.0,Feb 2015,12596.54
2015-02-10,8593.38,4000.0,Feb 2015,12593.38
