Month,Allowed_Limit,Possible_Liquidation,Excess
Feb 2016,1218.78,2342.62,1123.84
May 2016,1391.81,1595.27,203.47
Nov 2016,2091.6,14906.09,12814.49
Dec 2016,1846.05,9911.46,8065.41
May 2017,2501.91,3336.03,834.12
Jul 2017,2942.1,8256.96,5314.86
Dec 2017,3655.47,13816.34,10160.87
Apr 2018,3587.8,15253.46,11665.66
May 2018,3091.36,5457.43,2366.07
Jun 2018,2906.16,5987.76,3081.6
Jul 2018,3035.6,8265.89,5230.29
Nov 2018,2794.3,2992.37,198.07
Jun 2019,2941.21,4339.51,1398.3
Jul 2019,2769.05,9059.18,6290.13
Aug 2019,2868.78,3756.34,887.56
Dec 2019,3338.44,11939.32,8600.89
Mar 2020,2328.63,4891.82,2563.19
May 2020,2521.4,3211.3,689.9
Jul 2020,3148.35,7199.19,4050.84
Jul 2021,7150.32,10165.09,3014.77
Oct 2021,7190.49,23043.07,15852.57
Mar 2022,7358.18,10936.56,3578.38
Jul 2022,6936.47,13448.21,6511.74
Sep 2022,6880.48,22546.15,15665.67
Jan 2023,7092.9,9935.23,2842.33
Feb 2023,6701.46,9134.73,2433.26
Mar 2023,6653.76,7941.81,1288.04
Jul 2023,8396.14,16921.18,8525.04
Sep 2023,9122.63,12394.21,3271.58
Oct 2023,9168.27,21209.32,12041.05
Nov 2023,9839.58,17519.17,7679.59
Mar 2024,10868.62,13901.34,3032.73
Jul 2024,15806.66,30021.1,14214.44
Oct 2024,15332.12,15599.47,267.35
Nov 2024,16578.49,16701.88,123.39
Jan 2025,12203.66,18420.6,6216.94
Feb 2025,10082.47,28769.4,18686.93
Mar 2025,11070.92,31571.89,20500.98
Apr 2025,11691.76,25811.27,14119.51
Jul 2025,12888.92,43306.41,30417.49
