Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
VSTIND.NS,69.298923,2.41,166.67,3.9,270.48,23.649,Jul 2014,2014-07-31
TCS.NS,0.161342,1033.0,166.67,1119.09,180.56,15.787,Jul 2014,2014-07-31
ATUL.NS,0.195772,851.33,166.67,1141.25,223.42,19.535,Jul 2014,2014-07-31
RECLTD.NS,2.738484,60.86,166.67,52.25,143.1,12.512,Jul 2014,2014-07-31
HAVELLS.NS,0.776833,214.55,166.67,219.38,170.42,14.901,Jul 2014,2014-07-31
ONGC.NS,0.985253,169.16,166.67,158.07,155.74,13.617,Jul 2014,2014-07-31
VSTIND.NS,111.818176,2.98,333.33,3.9,436.54,19.676,Aug 2014,2014-08-28
TCS.NS,0.161342,1033.0,166.67,1094.06,176.52,7.956,Aug 2014,2014-08-28
ATUL.NS,0.195772,851.33,166.67,1298.02,254.12,11.454,Aug 2014,2014-08-28
RECLTD.NS,5.938468,56.13,333.33,45.83,272.13,12.265,Aug 2014,2014-08-28
HAVELLS.NS,1.560962,213.54,333.33,260.23,406.21,18.309,Aug 2014,2014-08-28
ONGC.NS,0.985253,169.16,166.67,173.92,171.35,7.723,Aug 2014,2014-08-28
KKCL.NS,0.61335,271.73,166.67,273.59,167.81,7.564,Aug 2014,2014-08-28
AJANTPHARM.NS,0.404786,411.74,166.67,390.94,158.25,7.133,Aug 2014,2014-08-28
WIPRO.NS,1.88865,88.25,166.67,93.06,175.76,7.922,Aug 2014,2014-08-28
VSTIND.NS,170.294337,3.34,569.35,4.15,707.29,21.746,Sep 2014,2014-09-30
TCS.NS,0.375808,1071.51,402.68,1186.99,446.08,13.715,Sep 2014,2014-09-30
ATUL.NS,0.195772,851.33,166.67,1329.6,260.3,8.003,Sep 2014,2014-09-30
HAVELLS.NS,1.560962,213.54,333.33,242.51,378.55,11.639,Sep 2014,2014-09-30
KKCL.NS,0.61335,271.73,166.67,293.45,179.99,5.534,Sep 2014,2014-09-30
AJANTPHARM.NS,0.99461,404.86,402.68,425.72,423.42,13.019,Sep 2014,2014-09-30
WIPRO.NS,1.88865,88.25,166.67,98.26,185.57,5.706,Sep 2014,2014-09-30
KAJARIACER.NS,0.757367,311.63,236.02,294.57,223.1,6.859,Sep 2014,2014-09-30
ADANIPORTS.NS,0.868097,271.88,236.02,263.38,228.64,7.03,Sep 2014,2014-09-30
ONGC.NS,1.342998,175.74,236.02,163.44,219.49,6.748,Sep 2014,2014-09-30
VSTIND.NS,218.944034,3.54,775.24,4.63,1013.84,23.405,Oct 2014,2014-10-31
TCS.NS,0.375808,1071.51,402.68,1135.73,426.82,9.853,Oct 2014,2014-10-31
ATUL.NS,0.195772,851.33,166.67,1220.66,238.97,5.517,Oct 2014,2014-10-31
HAVELLS.NS,2.427443,222.13,539.22,261.33,634.36,14.644,Oct 2014,2014-10-31
KKCL.NS,1.320706,282.09,372.55,270.76,357.59,8.255,Oct 2014,2014-10-31
AJANTPHARM.NS,1.478091,411.73,608.57,467.04,690.33,15.937,Oct 2014,2014-10-31
WIPRO.NS,1.88865,88.25,166.67,92.81,175.28,4.046,Oct 2014,2014-10-31
KAJARIACER.NS,0.757367,311.63,236.02,278.56,210.97,4.87,Oct 2014,2014-10-31
ONGC.NS,1.342998,175.74,236.02,162.08,217.67,5.025,Oct 2014,2014-10-31
ASTRAL.NS,1.162847,177.05,205.89,151.3,175.94,4.062,Oct 2014,2014-10-31
ECLERX.NS,0.303348,678.71,205.89,626.33,190.0,4.386,Oct 2014,2014-10-31
VSTIND.NS,254.889204,3.7,941.9,4.71,1199.92,21.101,Nov 2014,2014-11-28
TCS.NS,0.375808,1071.51,402.68,1151.04,432.57,7.607,Nov 2014,2014-11-28
ATUL.NS,0.195772,851.33,166.67,1223.96,239.62,4.214,Nov 2014,2014-11-28
HAVELLS.NS,2.427443,222.13,539.22,292.5,710.04,12.486,Nov 2014,2014-11-28
KKCL.NS,1.940734,277.84,539.22,303.17,588.36,10.346,Nov 2014,2014-11-28
AJANTPHARM.NS,1.478091,411.73,608.57,580.86,858.56,15.098,Nov 2014,2014-11-28
WIPRO.NS,1.88865,88.25,166.67,96.45,182.15,3.203,Nov 2014,2014-11-28
KAJARIACER.NS,0.757367,311.63,236.02,276.59,209.48,3.684,Nov 2014,2014-11-28
ONGC.NS,2.37285,169.7,402.68,151.77,360.14,6.333,Nov 2014,2014-11-28
ASTRAL.NS,2.219116,167.88,372.55,193.82,430.12,7.564,Nov 2014,2014-11-28
ECLERX.NS,0.303348,678.71,205.89,606.73,184.05,3.237,Nov 2014,2014-11-28
ZENSARTECH.NS,1.591877,104.7,166.67,101.19,161.09,2.833,Nov 2014,2014-11-28
BALKRISIND.NS,0.45953,362.69,166.67,284.09,130.55,2.296,Nov 2014,2014-11-28
VSTIND.NS,290.211577,3.82,1108.57,4.85,1407.88,21.657,Dec 2014,2014-12-31
