Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jul 2014,VSTIND.NS,166.67,270.48,1143.72,23.649
Aug 2014,VSTIND.NS,333.33,436.54,2218.69,19.676
Sep 2014,VSTIND.NS,569.35,707.29,3252.43,21.747
Oct 2014,VSTIND.NS,775.24,1013.84,4331.77,23.405
Nov 2014,VSTIND.NS,941.9,1199.92,5686.65,21.101
Dec 2014,VSTIND.NS,1108.57,1407.88,6500.66,21.657
Jan 2015,VSTIND.NS,1275.24,1549.16,7669.650000000001,20.199
Feb 2015,VSTIND.NS,1441.9,1598.93,8927.08,17.911
Mar 2015,AJANTPHARM.NS,1275.24,1922.52,10145.449999999999,18.95
Apr 2015,AJANTPHARM.NS,1275.24,1975.71,11232.48,17.589
May 2015,AJANTPHARM.NS,1607.84,2867.07,12690.35,22.593
Jun 2015,AJANTPHARM.NS,1607.84,2858.76,13499.73,21.176
Jul 2015,AJANTPHARM.NS,1607.84,2849.47,14144.97,20.145
Aug 2015,VSTIND.NS,2495.46,4165.64,15408.29,27.035
Sep 2015,VSTIND.NS,2681.69,4676.81,15871.15,29.467
Oct 2015,VSTIND.NS,2864.76,4857.79,16243.86,29.905
Nov 2015,VSTIND.NS,3025.23,5288.07,16409.77,32.225
Dec 2015,VSTIND.NS,3063.76,5353.31,16865.08,31.742
Jan 2016,VSTIND.NS,3202.01,5487.69,16167.97,33.942
Feb 2016,VSTIND.NS,3405.14,5072.84,14543.56,34.88
Mar 2016,VSTIND.NS,3607.55,5763.11,16170.18,35.64
Apr 2016,VSTIND.NS,3651.42,5732.25,16470.71,34.803
May 2016,VSTIND.NS,3884.18,6050.4,16765.54,36.088
Jun 2016,VSTIND.NS,3978.44,6295.02,17420.45,36.136
Jul 2016,VSTIND.NS,4051.8,7631.23,19881.98,38.383
Aug 2016,VSTIND.NS,4097.47,13886.46,26637.55,52.131
Sep 2016,VSTIND.NS,4097.47,13586.49,26504.62,51.261
