Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
ECLERX.NS,58.4,1.92,9.35
ENGINERSIN.NS,60.0,1.97,8.13
BALKRISIND.NS,183.7,6.04,14.61
AJANTPHARM.NS,224.8,7.38,33.94
KKCL.NS,352.2,11.57,0.04
ATUL.NS,58.9,1.93,-1.9
PIDILITIND.NS,60.0,1.97,1.21
WHIRLPOOL.NS,60.0,1.97,6.25
NAUKRI.NS,87.1,2.86,30.4
BERGEPAINT.NS,80.9,2.66,5.87
WIPRO.NS,142.1,4.67,-2.06
INFY.NS,112.9,3.71,0.03
RATNAMANI.NS,184.0,6.05,7.25
TORNTPHARM.NS,128.3,4.21,18.27
CENTURYPLY.NS,60.0,1.97,-0.39
ICRA.NS,60.0,1.97,-4.36
ASTRAL.NS,236.1,7.75,-3.32
VINATIORGA.NS,158.2,5.2,-6.07
IGL.NS,120.0,3.94,8.24
KAJARIACER.NS,100.6,3.3,3.62
JUBLFOOD.NS,267.7,8.79,-29.68
HINDUNILVR.NS,154.2,5.07,-0.05
MUNJALSHOW.NS,304.0,9.99,-11.68
BRITANNIA.NS,395.0,12.98,-4.25
COALINDIA.NS,132.3,4.35,-13.24
TVSSRICHAK.NS,152.0,4.99,11.82
HEROMOTOCO.NS,152.0,4.99,17.54
AVANTIFEED.NS,634.1,20.83,7.82
BAJAJ-AUTO.NS,406.4,13.35,6.0
VAKRANGEE.NS,110.6,3.63,-7.42
VSTIND.NS,705.8,23.19,46.42
VGUARD.NS,119.0,3.91,5.08
DHANUKA.NS,189.8,6.23,-17.67
HINDZINC.NS,580.0,19.06,-16.23
BALMLAWRIE.NS,58.0,1.91,-9.77
ZENSARTECH.NS,792.5,26.04,18.84
NAVNETEDUL.NS,92.8,3.05,-3.73
CERA.NS,60.0,1.97,-6.06
KSCL.NS,120.7,3.97,5.65
BAJFINANCE.NS,1196.5,39.31,308.7
AARTIIND.NS,502.1,16.5,24.06
GREENPLY.NS,122.0,4.01,1.85
KRBL.NS,60.0,1.97,20.3
NBCC.NS,150.0,4.93,-19.46
RECLTD.NS,404.5,13.29,-36.86
PERSISTENT.NS,85.4,2.8,24.61
RELAXO.NS,114.3,3.76,12.01
TECHM.NS,134.9,4.43,5.04
TCS.NS,270.9,8.9,1.92
APLLTD.NS,141.4,4.65,5.68
COLPAL.NS,103.3,3.39,-0.52
PCJEWELLER.NS,311.5,10.23,-86.32
CUMMINSIND.NS,60.0,1.97,-25.65
GULFOILLUB.NS,67.9,2.23,6.84
AKZOINDIA.NS,102.1,3.35,13.02
GARFIBRES.NS,91.0,2.99,0.48
AUROPHARMA.NS,232.2,7.63,-22.43
CHOLAFIN.NS,496.5,16.31,-30.57
HINDPETRO.NS,334.4,10.99,-24.95
BPCL.NS,349.4,11.48,-15.55
HCLTECH.NS,89.0,2.92,11.14
SWARAJENG.NS,209.0,6.87,-6.25
TATAELXSI.NS,174.6,5.74,122.61
JUSTDIAL.NS,60.0,1.97,4.6
KPRMILL.NS,107.7,3.54,8.29
ALKYLAMINE.NS,433.3,14.23,152.31
AARTIDRUGS.NS,248.8,8.17,-16.45
CAPLIPOINT.NS,268.4,8.82,40.39
LUXIND.NS,166.7,5.48,-28.08
ASAL.NS,744.3,24.45,723.95
KEI.NS,180.9,5.94,19.14
DCMSHRIRAM.NS,369.6,12.14,-1.99
SFL.NS,58.7,1.93,0.82
RHIM.NS,59.0,1.94,15.1
SOLARINDS.NS,65.0,2.14,17.96
BHARATRAS.NS,644.4,21.17,56.98
STLTECH.NS,401.2,13.18,-25.68
BEL.NS,319.1,10.48,35.43
SUDARSCHEM.NS,848.3,27.87,14.85
SHARDACROP.NS,60.0,1.97,-22.21
PITTIENG.NS,484.3,15.91,198.12
EKC.NS,75.2,2.47,-40.86
BALRAMCHIN.NS,265.1,8.71,-18.87
DWARKESH.NS,128.1,4.21,-12.91
POLYPLEX.NS,488.3,16.04,-30.6
GRINDWELL.NS,60.0,1.97,-5.16
ZEEL.NS,60.0,1.97,7.23
TI.NS,172.5,5.67,32.58
CHAMBLFERT.NS,143.5,4.71,-9.26
COCHINSHIP.NS,78.0,2.56,-14.89
PRECWIRE.NS,218.2,7.17,31.41
GPTINFRA.NS,58.0,1.91,-20.56
SALASAR.NS,117.5,3.86,-4.61
GNA.NS,60.7,2.0,-8.96
KAMDHENU.NS,95.4,3.13,-7.35
GOKUL.NS,256.7,8.43,-5.88
MOLDTECH.NS,60.5,1.99,-4.23
ITC.NS,60.0,1.97,6.4
TVSMOTOR.NS,60.0,1.97,14.48
SURYAROSNI.NS,192.2,6.31,3.16
REFEX.NS,81.8,2.69,-1.34
BANCOINDIA.NS,159.6,5.24,34.24
UGARSUGAR.NS,102.1,3.35,-22.63
GHCL.NS,502.3,16.5,-9.27
GOKEX.NS,69.5,2.28,11.54
ASTRAZEN.NS,83.0,2.73,12.94
NEWGEN.NS,82.2,2.7,21.59
KNRCON.NS,912.7,29.98,1.49
GOKULAGRO.NS,305.0,10.02,13.29
UTTAMSUGAR.NS,395.0,12.98,24.41
HISARMETAL.NS,360.4,11.84,33.38
OFSS.NS,59.5,1.96,15.83
APARINDS.NS,78.7,2.58,-10.63
GODFRYPHLP.NS,68.2,2.24,37.9
JBCHEPHARM.NS,121.3,3.99,12.23
HAL.NS,359.7,11.82,134.06
SONATSOFTW.NS,2088.8,68.62,215.02
RITES.NS,365.0,11.99,-25.79
NMDC.NS,317.5,10.43,-21.57
MUTHOOTFIN.NS,58.0,1.91,9.69
GPIL.NS,546.0,17.94,-69.58
COROMANDEL.NS,59.0,1.94,11.73
POLYMED.NS,59.0,1.94,4.95
DIXON.NS,95.0,3.12,-0.61
GRANULES.NS,266.4,8.75,-24.43
CDSL.NS,60.0,1.97,-12.01
PCBL.NS,321.6,10.56,-4.41
GODREJAGRO.NS,89.0,2.92,-2.94
FACT.NS,967.1,31.77,167.29
