Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
SONATSOFTW.NS,10.020653,596.4,5976.32,354.0,3547.31
FACT.NS,27.81164,621.22,17277.06,952.25,26483.63
HAL.NS,2.447662,4204.5,10291.19,4429.6,10842.16
HGINFRA.NS,0.913829,930.9,850.68,992.05,906.56
TI.NS,28.499281,350.59,9991.53,480.75,13701.03
HINDZINC.NS,6.475646,427.4,2767.67,435.9,2822.73
MSTCLTD.NS,3.561767,870.83,3101.68,458.75,1633.96
SHARDAMOTR.NS,3.08562,2424.12,7479.91,1044.9,3224.16
GODFRYPHLP.NS,0.882252,2055.24,1813.24,3523.67,3108.76
CHAMBLFERT.NS,2.105589,555.45,1169.55,544.85,1147.23
REFEX.NS,5.294855,434.0,2297.95,364.2,1928.39
WELCORP.NS,3.868012,885.35,3424.53,848.45,3281.81
REDINGTON.NS,12.692371,269.81,3424.53,243.89,3095.54
HCLTECH.NS,0.679273,1718.3,1167.19,1468.4,997.44
BRITANNIA.NS,0.195024,5798.0,1130.75,5846.5,1140.21
MANAPPURAM.NS,8.657982,260.72,2257.33,275.0,2380.95
GPIL.NS,4.708412,239.27,1126.58,239.27,1126.58
IMFA.NS,1.262489,892.35,1126.58,892.35,1126.58
