Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Aug 2014,2014-08-28,ECLERX.NS,0.284839,193.73,Not in good list (full),0.0,814.38
Sep 2014,2014-09-30,ENGINERSIN.NS,1.431327,174.98,Not in good list (full within limit),0.0,1158.88
Sep 2014,2014-09-30,BALKRISIND.NS,0.986049,375.59,Not in good list (full within limit),0.0,1158.88
Sep 2014,2014-09-30,AJANTPHARM.NS,0.826568,381.63,Not in good list (full within limit),0.0,1158.88
Sep 2014,2014-09-30,KKCL.NS,0.223097,82.24,Not in good list (partial to meet limit),0.851149,1158.88
Oct 2014,2014-10-31,ATUL.NS,0.24656,314.55,Not in good list (full within limit),0.0,2302.63
Oct 2014,2014-10-31,PIDILITIND.NS,1.64076,339.8,Not in good list (full within limit),0.0,2302.63
Oct 2014,2014-10-31,WHIRLPOOL.NS,0.732179,360.71,Not in good list (full within limit),0.0,2302.63
Oct 2014,2014-10-31,NAUKRI.NS,0.073865,12.45,Not in good list (partial to meet limit),2.19634,2302.63
Nov 2014,2014-11-28,NAUKRI.NS,2.19634,425.37,Not in good list (full),0.0,3748.43
Nov 2014,2014-11-28,BERGEPAINT.NS,3.267454,382.86,Not in good list (full),0.0,3748.43
Jan 2015,2015-01-30,WIPRO.NS,1.651596,187.83,Not in good list (full),0.0,6791.78
Feb 2015,2015-02-27,INFY.NS,0.306524,173.63,Not in good list (full within limit),0.0,7071.71
Feb 2015,2015-02-27,RATNAMANI.NS,1.861878,923.8,Not in good list (partial to meet limit),1.149922,7071.71
Mar 2015,2015-03-31,RATNAMANI.NS,1.149922,526.82,Not in good list (full),0.0,8807.54
Apr 2015,2015-04-30,BALKRISIND.NS,2.840041,1102.01,Not in good list (full within limit),0.0,9716.4
Apr 2015,2015-04-30,AJANTPHARM.NS,0.064169,54.03,Not in good list (partial to meet limit),1.943821,9716.4
May 2015,2015-05-29,ECLERX.NS,0.448992,354.7,Not in good list (full within limit),0.0,10932.22
May 2015,2015-05-29,ATUL.NS,0.311643,365.03,Not in good list (full within limit),0.0,10932.22
May 2015,2015-05-29,TORNTPHARM.NS,0.756881,455.93,Not in good list (partial to meet limit),0.941218,10932.22
Jun 2015,2015-06-30,CENTURYPLY.NS,1.72877,339.27,Not in good list (full within limit),0.0,11582.76
Jun 2015,2015-06-30,ICRA.NS,0.081554,346.8,Not in good list (full within limit),0.0,11582.76
Jun 2015,2015-06-30,WHIRLPOOL.NS,0.509748,379.13,Not in good list (full within limit),0.0,11582.76
Jun 2015,2015-06-30,TORNTPHARM.NS,0.120928,78.69,Not in good list (partial to meet limit),0.82029,11582.76
Jul 2015,2015-07-31,ASTRAL.NS,7.407491,1239.01,Not in good list (partial to meet limit),1.629654,13629.16
Aug 2015,2015-08-31,ASTRAL.NS,1.629654,316.8,Not in good list (full within limit),0.0,12779.43
Aug 2015,2015-08-31,TORNTPHARM.NS,0.82029,659.1,Not in good list (full within limit),0.0,12779.43
Aug 2015,2015-08-31,AJANTPHARM.NS,0.185883,185.86,Not in good list (partial to meet limit),1.757938,12779.43
Sep 2015,2015-09-30,AJANTPHARM.NS,1.167791,1152.03,Not in good list (partial to meet limit),0.590147,12672.28
Oct 2015,2015-10-30,AJANTPHARM.NS,0.590147,609.58,Not in good list (full),0.0,13735.92
Nov 2015,2015-11-30,VINATIORGA.NS,4.56689,896.25,Not in good list (full),0.0,13628.39
Nov 2015,2015-11-30,ECLERX.NS,0.128166,117.02,Not in good list (full),0.0,13628.39
Dec 2015,2015-12-31,IGL.NS,7.506481,397.09,Not in good list (full within limit),0.0,13806.32
Dec 2015,2015-12-31,KKCL.NS,1.94661,858.03,Not in good list (partial to meet limit),4.009799,13806.32
