Date,Portfolio_Value,Bank,Equity
2014-07-01,1000.0,11000.0,12000.0
2014-07-02,1010.25,11000.0,12010.25
2014-07-03,1019.37,11000.0,12019.37
2014-07-04,1026.83,11000.0,12026.83
2014-07-07,1021.07,11000.0,12021.07
2014-07-08,1011.54,11000.0,12011.54
2014-07-09,994.6,11000.0,11994.6
2014-07-10,994.87,11000.0,11994.87
2014-07-11,1005.74,11000.0,12005.74
2014-07-14,993.56,11000.0,11993.56
2014-07-15,1008.47,11000.0,12008.47
2014-07-16,1019.12,11000.0,12019.12
2014-07-17,1062.91,11000.0,12062.91
2014-07-18,1058.16,11000.0,12058.16
2014-07-21,1068.63,11000.0,12068.630000000001
2014-07-22,1078.2,11000.0,12078.2
2014-07-23,1126.58,11000.0,12126.58
2014-07-24,1154.54,11000.0,12154.54
2014-07-25,1123.77,11000.0,12123.77
2014-07-28,1106.46,11000.0,12106.46
2014-07-30,1106.14,11000.0,12106.14
2014-07-31,1111.81,11000.0,12111.81
2014-08-01,2098.15,10000.0,12098.15
2014-08-04,2102.11,10000.0,12102.11
2014-08-05,2087.68,10000.0,12087.68
2014-08-06,2081.71,10000.0,12081.71
2014-08-07,2079.66,10000.0,12079.66
2014-08-08,2026.22,10000.0,12026.22
2014-08-11,2050.66,10000.0,12050.66
2014-08-12,2033.55,10000.0,12033.55
2014-08-13,2007.08,10000.0,12007.08
2014-08-14,2028.93,10000.0,12028.93
2014-08-18,2053.97,10000.0,12053.97
2014-08-19,2120.58,10000.0,12120.58
2014-08-20,2176.65,10000.0,12176.65
2014-08-21,2172.85,10000.0,12172.85
2014-08-22,2137.61,10000.0,12137.61
2014-08-25,2135.39,10000.0,12135.39
2014-08-26,2114.88,10000.0,12114.880000000001
2014-08-27,2150.21,10000.0,12150.21
2014-08-28,2141.17,10000.0,12141.17
2014-09-01,3180.28,9000.0,12180.28
2014-09-02,3201.83,9000.0,12201.83
2014-09-03,3224.38,9000.0,12224.380000000001
2014-09-04,3226.91,9000.0,12226.91
2014-09-05,3220.65,9000.0,12220.65
2014-09-08,3260.1,9000.0,12260.1
2014-09-09,3242.2,9000.0,12242.2
2014-09-10,3256.07,9000.0,12256.07
2014-09-11,3305.44,9000.0,12305.44
2014-09-12,3320.43,9000.0,12320.43
2014-09-15,3334.35,9000.0,12334.35
2014-09-16,3256.02,9000.0,12256.02
2014-09-17,3238.82,9000.0,12238.82
2014-09-18,3267.04,9000.0,12267.04
2014-09-19,3313.83,9000.0,12313.83
2014-09-22,3350.65,9000.0,12350.65
2014-09-23,3333.11,9000.0,12333.11
2014-09-24,3351.36,9000.0,12351.36
2014-09-25,3271.81,9000.0,12271.81
2014-09-26,3240.92,9000.0,12240.92
2014-09-29,3280.71,9000.0,12280.71
2014-09-30,3314.97,9000.0,12314.97
2014-10-01,4250.04,8000.0,12250.04
2014-10-07,4190.35,8000.0,12190.35
2014-10-08,4165.39,8000.0,12165.39
2014-10-09,4233.76,8000.0,12233.76
2014-10-10,4140.08,8000.0,12140.08
2014-10-13,4157.29,8000.0,12157.29
2014-10-14,4133.4,8000.0,12133.4
2014-10-16,4063.1,8000.0,12063.1
2014-10-17,4094.19,8000.0,12094.19
2014-10-20,4111.88,8000.0,12111.880000000001
2014-10-21,4175.16,8000.0,12175.16
2014-10-22,4216.84,8000.0,12216.84
2014-10-23,4216.84,8000.0,12216.84
2014-10-27,4235.32,8000.0,12235.32
2014-10-28,4175.13,8000.0,12175.130000000001
2014-10-29,4208.17,8000.0,12208.17
2014-10-30,4240.5,8000.0,12240.5
2014-10-31,4219.02,8000.0,12219.02
2014-11-03,5310.15,7000.0,12310.15
2014-11-05,5311.04,7000.0,12311.04
2014-11-07,5521.09,7000.0,12521.09
2014-11-10,5560.85,7000.0,12560.85
2014-11-11,5638.51,7000.0,12638.51
2014-11-12,5759.71,7000.0,12759.71
2014-11-13,5798.63,7000.0,12798.630000000001
2014-11-14,5554.3,7000.0,12554.3
2014-11-17,5507.56,7000.0,12507.560000000001
2014-11-18,5574.31,7000.0,12574.310000000001
2014-11-19,5690.72,7000.0,12690.720000000001
2014-11-20,5684.29,7000.0,12684.29
2014-11-21,5672.39,7000.0,12672.39
2014-11-24,5670.83,7000.0,12670.83
2014-11-25,5590.41,7000.0,12590.41
2014-11-26,5608.73,7000.0,12608.73
2014-11-27,5709.56,7000.0,12709.560000000001
2014-11-28,5721.28,7000.0,12721.279999999999
2014-12-01,6783.28,6000.0,12783.279999999999
2014-12-02,6754.7,6000.0,12754.7
2014-12-03,6764.86,6000.0,12764.86
2014-12-04,6882.61,6000.0,12882.61
2014-12-05,6837.97,6000.0,12837.970000000001
2014-12-08,6788.6,6000.0,12788.6
2014-12-09,6756.75,6000.0,12756.75
2014-12-10,6822.01,6000.0,12822.01
2014-12-11,6870.16,6000.0,12870.16
2014-12-12,6920.68,6000.0,12920.68
2014-12-15,6864.69,6000.0,12864.689999999999
2014-12-16,6667.89,6000.0,12667.89
2014-12-17,6500.01,6000.0,12500.01
2014-12-18,6594.28,6000.0,12594.279999999999
2014-12-19,6501.76,6000.0,12501.76
2014-12-22,6589.91,6000.0,12589.91
2014-12-23,6580.41,6000.0,12580.41
2014-12-24,6605.17,6000.0,12605.17
2014-12-26,6688.73,6000.0,12688.73
2014-12-29,6755.07,6000.0,12755.07
2014-12-30,6833.24,6000.0,12833.24
2014-12-31,6858.59,6000.0,12858.59
2015-01-01,7874.86,5000.0,12874.86
2015-01-02,7873.53,5000.0,12873.529999999999
2015-01-05,7902.61,5000.0,12902.61
2015-01-06,7705.7,5000.0,12705.7
2015-01-07,7715.21,5000.0,12715.21
2015-01-08,7726.97,5000.0,12726.970000000001
2015-01-09,7796.78,5000.0,12796.779999999999
2015-01-12,7841.16,5000.0,12841.16
2015-01-13,7933.42,5000.0,12933.42
2015-01-14,8014.35,5000.0,13014.35
2015-01-15,8002.6,5000.0,13002.6
2015-01-16,7940.06,5000.0,12940.060000000001
2015-01-19,8006.13,5000.0,13006.130000000001
2015-01-20,8013.88,5000.0,13013.880000000001
2015-01-21,7983.27,5000.0,12983.27
2015-01-22,8123.03,5000.0,13123.029999999999
2015-01-23,8061.85,5000.0,13061.85
2015-01-27,8027.25,5000.0,13027.25
2015-01-28,8263.2,5000.0,13263.2
2015-01-29,8116.16,5000.0,13116.16
2015-01-30,8072.03,5000.0,13072.029999999999
2015-02-02,9149.63,4000.0,13149.63
2015-02-03,9149.79,4000.0,13149.79
2015-02-04,9167.92,4000.0,13167.92
2015-02-05,9103.86,4000.0,13103.86
2015-02-06,9056.81,4000.0,13056.81
2015-02-09,9030.32,4000.0,13030.32
2015-02-10,9052.35,4000.0,13052.35
2015-02-11,9200.35,4000.0,13200.35
2015-02-12,9259.46,4000.0,13259.46
2015-02-13,9483.86,4000.0,13483.86
2015-02-16,9498.29,4000.0,13498.29
2015-02-18,9638.4,4000.0,13638.4
2015-02-19,9605.56,4000.0,13605.56
2015-02-20,9541.43,4000.0,13541.43
2015-02-23,9493.17,4000.0,13493.17
2015-02-24,9482.48,4000.0,13482.48
2015-02-25,9457.24,4000.0,13457.24
2015-02-26,9372.53,4000.0,13372.53
2015-02-27,9404.69,4000.0,13404.69
2015-03-02,10752.02,3000.0,13752.02
2015-03-03,11026.14,3000.0,14026.14
2015-03-04,10839.91,3000.0,13839.91
2015-03-05,10789.82,3000.0,13789.82
2015-03-09,10632.35,3000.0,13632.35
2015-03-10,10586.55,3000.0,13586.55
2015-03-11,10640.36,3000.0,13640.36
2015-03-12,10709.71,3000.0,13709.71
2015-03-13,10563.2,3000.0,13563.2
2015-03-16,10526.49,3000.0,13526.49
2015-03-17,10536.12,3000.0,13536.12
2015-03-18,10543.71,3000.0,13543.71
2015-03-19,10525.2,3000.0,13525.2
2015-03-20,10385.9,3000.0,13385.9
2015-03-23,10220.67,3000.0,13220.67
2015-03-24,10204.43,3000.0,13204.43
2015-03-25,10191.32,3000.0,13191.32
2015-03-26,10057.28,3000.0,13057.28
2015-03-27,10024.75,3000.0,13024.75
2015-03-30,10285.13,3000.0,13285.13
2015-03-31,10354.34,3000.0,13354.34
2015-04-01,11750.7,2000.0,13750.7
2015-04-06,11940.43,2000.0,13940.43
2015-04-07,11986.67,2000.0,13986.67
2015-04-08,12185.5,2000.0,14185.5
2015-04-09,12293.51,2000.0,14293.51
2015-04-10,12336.17,2000.0,14336.17
2015-04-13,12365.64,2000.0,14365.64
2015-04-15,12419.36,2000.0,14419.36
2015-04-16,12318.26,2000.0,14318.26
2015-04-17,12293.84,2000.0,14293.84
2015-04-20,12075.23,2000.0,14075.23
2015-04-21,11998.1,2000.0,13998.1
2015-04-22,12049.06,2000.0,14049.06
2015-04-23,12101.85,2000.0,14101.85
2015-04-24,11825.9,2000.0,13825.9
2015-04-27,11603.85,2000.0,13603.85
2015-04-28,11734.72,2000.0,13734.72
2015-04-29,11791.82,2000.0,13791.82
2015-04-30,11681.19,2000.0,13681.19
2015-05-04,12715.0,1000.0,13715.0
2015-05-05,12849.77,1000.0,13849.77
2015-05-06,12684.13,1000.0,13684.13
2015-05-07,12464.48,1000.0,13464.48
2015-05-08,12421.48,1000.0,13421.48
2015-05-11,12409.55,1000.0,13409.55
2015-05-12,12278.47,1000.0,13278.47
2015-05-13,12549.53,1000.0,13549.53
2015-05-14,12704.77,1000.0,13704.77
2015-05-15,12534.73,1000.0,13534.73
2015-05-18,12601.28,1000.0,13601.28
2015-05-19,12598.84,1000.0,13598.84
2015-05-20,12506.08,1000.0,13506.08
2015-05-21,12491.98,1000.0,13491.98
2015-05-22,12511.03,1000.0,13511.03
2015-05-25,12280.96,1000.0,13280.96
2015-05-26,12330.83,1000.0,13330.83
2015-05-27,12144.25,1000.0,13144.25
2015-05-28,12074.41,1000.0,13074.41
2015-05-29,12291.73,1000.0,13291.73
2015-06-01,13240.63,0.0,13240.63
2015-06-02,13064.49,0.0,13064.49
2015-06-03,12803.34,0.0,12803.34
2015-06-04,12914.15,0.0,12914.15
2015-06-05,12950.7,0.0,12950.7
2015-06-08,12796.98,0.0,12796.98
2015-06-09,12712.22,0.0,12712.22
2015-06-10,12609.46,0.0,12609.46
2015-06-11,12489.49,0.0,12489.49
2015-06-12,12418.39,0.0,12418.39
2015-06-15,12450.17,0.0,12450.17
2015-06-16,12325.74,0.0,12325.74
2015-06-17,12538.43,0.0,12538.43
2015-06-18,12837.32,0.0,12837.32
2015-06-19,12787.58,0.0,12787.58
2015-06-22,12917.89,0.0,12917.89
2015-06-23,12967.42,0.0,12967.42
2015-06-24,12909.72,0.0,12909.72
2015-06-25,12865.15,0.0,12865.15
2015-06-26,12880.17,0.0,12880.17
2015-06-29,12666.25,0.0,12666.25
2015-06-30,12796.43,0.0,12796.43
2015-07-01,13107.52,0.0,13107.52
2015-07-02,13187.1,0.0,13187.1
2015-07-03,13178.19,0.0,13178.19
2015-07-06,13218.73,0.0,13218.73
2015-07-07,13248.27,0.0,13248.27
2015-07-08,13012.92,0.0,13012.92
2015-07-09,12913.86,0.0,12913.86
2015-07-10,12939.04,0.0,12939.04
2015-07-13,13050.77,0.0,13050.77
2015-07-14,13141.37,0.0,13141.37
2015-07-15,13351.86,0.0,13351.86
2015-07-16,13504.42,0.0,13504.42
2015-07-17,13543.44,0.0,13543.44
2015-07-20,13587.64,0.0,13587.64
2015-07-21,13478.79,0.0,13478.79
2015-07-22,13823.23,0.0,13823.23
2015-07-23,13975.87,0.0,13975.87
2015-07-24,14016.43,0.0,14016.43
2015-07-27,14055.5,0.0,14055.5
2015-07-28,14277.22,0.0,14277.22
2015-07-29,14262.05,0.0,14262.05
2015-07-30,14553.61,0.0,14553.61
2015-07-31,14560.99,0.0,14560.99
2015-08-03,15078.17,0.0,15078.17
2015-08-04,15066.02,0.0,15066.02
2015-08-05,15375.17,0.0,15375.17
2015-08-06,15158.13,0.0,15158.13
2015-08-07,15286.07,0.0,15286.07
2015-08-10,15510.58,0.0,15510.58
2015-08-11,15338.84,0.0,15338.84
2015-08-12,14780.26,0.0,14780.26
2015-08-13,15010.54,0.0,15010.54
2015-08-14,15158.23,0.0,15158.23
2015-08-17,15128.71,0.0,15128.71
2015-08-18,15224.91,0.0,15224.91
2015-08-19,15422.28,0.0,15422.28
2015-08-20,15165.09,0.0,15165.09
2015-08-21,15193.54,0.0,15193.54
2015-08-24,13573.29,0.0,13573.29
2015-08-25,13849.2,0.0,13849.2
2015-08-26,13811.35,0.0,13811.35
2015-08-27,14264.65,0.0,14264.65
2015-08-28,14182.01,0.0,14182.01
2015-08-31,14288.79,0.0,14288.79
2015-09-01,13996.03,0.0,13996.03
2015-09-02,14009.46,0.0,14009.46
2015-09-03,14337.2,0.0,14337.2
2015-09-04,13871.81,0.0,13871.81
2015-09-07,13670.64,0.0,13670.64
2015-09-08,13706.71,0.0,13706.71
2015-09-09,13857.06,0.0,13857.06
2015-09-10,13868.75,0.0,13868.75
2015-09-11,14185.53,0.0,14185.53
2015-09-14,14359.64,0.0,14359.64
2015-09-15,14328.27,0.0,14328.27
2015-09-16,14169.62,0.0,14169.62
2015-09-18,14112.9,0.0,14112.9
2015-09-21,14281.14,0.0,14281.14
2015-09-22,14071.37,0.0,14071.37
2015-09-23,14099.2,0.0,14099.2
2015-09-24,14115.05,0.0,14115.05
2015-09-28,14153.69,0.0,14153.69
2015-09-29,14076.12,0.0,14076.12
2015-09-30,14411.81,0.0,14411.81
2015-10-01,14673.17,0.0,14673.17
2015-10-05,14722.67,0.0,14722.67
2015-10-06,14809.21,0.0,14809.21
2015-10-07,14730.59,0.0,14730.59
2015-10-08,14740.96,0.0,14740.96
2015-10-09,14694.17,0.0,14694.17
2015-10-12,15281.22,0.0,15281.22
2015-10-13,15401.19,0.0,15401.19
2015-10-14,15213.65,0.0,15213.65
2015-10-15,15393.05,0.0,15393.05
2015-10-16,15360.97,0.0,15360.97
2015-10-19,15501.88,0.0,15501.88
2015-10-20,15416.43,0.0,15416.43
