Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
TI.NS,42.98288,364.39,15662.66,480.75,20664.02
BANCOINDIA.NS,50.690786,459.45,23289.93,590.7,29943.05
SURYAROSNI.NS,21.484036,527.37,11330.0,281.98,6058.12
APARINDS.NS,2.868955,7285.74,20902.46,7802.0,22383.59
RITES.NS,6.7753,358.77,2430.8,258.48,1751.28
POWERGRID.NS,13.009504,310.73,4042.48,279.85,3640.71
KSCL.NS,17.045334,1068.29,18209.32,1188.4,20256.68
COROMANDEL.NS,10.410114,2062.94,21475.42,2339.4,24353.42
GRAVITA.NS,7.587548,1621.48,12303.04,1655.6,12561.94
CHAMBLFERT.NS,12.983973,545.35,7080.81,544.85,7074.32
HINDZINC.NS,20.275844,393.99,7988.5,435.9,8838.24
SUVENPHAR.NS,0.420775,1022.5,430.24,1056.65,444.61
SOLARINDS.NS,0.321295,13428.58,4314.54,14046.0,4512.91
MANAPPURAM.NS,34.814423,269.19,9371.84,275.0,9573.97
REDINGTON.NS,35.576698,295.43,10510.31,243.89,8676.8
WELCORP.NS,10.324104,907.76,9371.84,848.45,8759.49
REFEX.NS,6.093754,417.65,2545.06,364.2,2219.35
GPIL.NS,4.758101,239.27,1138.47,239.27,1138.47
IMFA.NS,1.275812,892.35,1138.47,892.35,1138.47
CREDITACC.NS,0.811339,1403.2,1138.47,1403.2,1138.47
