Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
IGL.NS,356.3,11.7,61.49
ENGINERSIN.NS,404.0,13.27,-28.48
BERGEPAINT.NS,293.1,9.63,20.18
ADANIPORTS.NS,57.0,1.87,-11.04
CENTURYPLY.NS,57.0,1.87,-6.44
BALKRISIND.NS,433.0,14.22,41.86
AJANTPHARM.NS,407.5,13.39,67.74
ASTRAL.NS,364.0,11.96,3.76
TORNTPHARM.NS,506.6,16.64,49.75
NAUKRI.NS,394.0,12.94,8.35
ICRA.NS,287.7,9.45,28.82
KKCL.NS,427.5,14.04,9.81
KAJARIACER.NS,398.3,13.08,14.66
ECLERX.NS,751.3,24.68,72.22
DIVISLAB.NS,83.7,2.75,-8.94
BRITANNIA.NS,393.0,12.91,21.03
ATUL.NS,491.2,16.14,67.31
JUBLFOOD.NS,361.0,11.86,-34.7
RATNAMANI.NS,579.4,19.03,12.16
INFY.NS,404.9,13.3,13.75
WIPRO.NS,328.5,10.79,-10.76
VINATIORGA.NS,350.1,11.5,12.64
LICHSGFIN.NS,676.3,22.22,35.26
ZENSARTECH.NS,601.2,19.75,-14.75
BAJFINANCE.NS,537.3,17.65,152.83
VGUARD.NS,408.5,13.42,48.56
BALMLAWRIE.NS,150.0,4.93,-5.32
TIDEWATER.NS,476.4,15.65,29.76
TVSSRICHAK.NS,578.0,18.99,39.64
VSTIND.NS,1009.8,33.17,578.34
VAKRANGEE.NS,332.1,10.91,106.89
KRBL.NS,176.0,5.78,-13.36
RUPA.NS,176.0,5.78,-11.17
RECLTD.NS,286.9,9.43,-21.66
NBCC.NS,164.7,5.41,-19.6
FINCABLES.NS,240.0,7.88,-5.64
GREENPLY.NS,217.5,7.15,-32.46
NAVNETEDUL.NS,333.0,10.94,-31.65
JAGRAN.NS,819.6,26.92,-24.72
RELAXO.NS,416.3,13.68,36.29
AARTIIND.NS,757.8,24.89,97.42
PAGEIND.NS,379.2,12.46,1.95
AUROPHARMA.NS,296.5,9.74,-8.28
PCJEWELLER.NS,543.6,17.86,-91.5
TCS.NS,392.5,12.89,8.01
TVTODAY.NS,423.5,13.91,-26.31
APLLTD.NS,307.2,10.09,1.65
GULFOILLUB.NS,126.2,4.15,-14.87
AVANTIFEED.NS,524.4,17.23,-3.9
GARFIBRES.NS,337.3,11.08,90.67
CHOLAFIN.NS,535.1,17.58,-29.93
HINDPETRO.NS,332.8,10.93,-22.09
BPCL.NS,303.4,9.97,-14.15
EXIDEIND.NS,781.7,25.68,-24.42
KPRMILL.NS,424.9,13.96,34.5
NATCOPHARM.NS,393.0,12.91,77.81
ALKYLAMINE.NS,439.4,14.43,280.33
FDC.NS,589.6,19.37,21.7
PERSISTENT.NS,513.2,16.86,133.74
TECHM.NS,1935.1,63.57,144.22
CAPLIPOINT.NS,392.0,12.88,46.01
DHANUKA.NS,409.0,13.44,-6.0
BEL.NS,559.8,18.39,103.7
JUSTDIAL.NS,350.3,11.51,-38.59
STLTECH.NS,458.3,15.05,-37.15
SUDARSCHEM.NS,864.1,28.39,13.94
EKC.NS,86.7,2.85,-41.87
DWARKESH.NS,151.0,4.96,-9.89
DCMSHRIRAM.NS,489.3,16.08,-1.37
SONATSOFTW.NS,1635.8,53.74,396.37
FCL.NS,120.0,3.94,-18.74
KEI.NS,410.3,13.48,64.45
ADANIENT.NS,363.0,11.93,-16.89
SOTL.NS,120.0,3.94,-26.16
COCHINSHIP.NS,288.1,9.46,438.23
GHCL.NS,334.0,10.97,-17.06
GNA.NS,106.5,3.5,-13.2
KAMDHENU.NS,111.6,3.67,-10.13
BALRAMCHIN.NS,549.7,18.06,0.12
ASAL.NS,679.9,22.33,320.54
SHARDACROP.NS,382.4,12.56,-21.56
TVSMOTOR.NS,394.0,12.94,68.85
SOLARINDS.NS,393.0,12.91,45.49
UGARSUGAR.NS,105.5,3.47,-25.49
HGINFRA.NS,152.0,4.99,-3.85
GOKULAGRO.NS,211.0,6.93,-2.03
HINDZINC.NS,2320.0,76.21,381.24
REFEX.NS,121.7,4.0,-18.53
PITTIENG.NS,487.5,16.01,110.45
SAKSOFT.NS,87.0,2.86,-3.34
UTTAMSUGAR.NS,394.0,12.94,24.41
MOLDTECH.NS,215.4,7.08,23.54
TI.NS,487.2,16.0,98.27
PRECWIRE.NS,394.0,12.94,98.02
SALASAR.NS,394.6,12.96,117.76
GPTINFRA.NS,394.8,12.97,167.07
BANCOINDIA.NS,393.0,12.91,175.04
BAJAJ-AUTO.NS,1633.8,53.67,240.06
POLYPLEX.NS,891.5,29.29,-34.43
AARTIDRUGS.NS,1267.9,41.65,-27.4
HAL.NS,422.9,13.89,141.04
UNIVASTU.NS,395.0,12.98,91.49
GEEKAYWIRE.NS,394.7,12.97,91.34
DLINKINDIA.NS,424.0,13.93,126.82
TEMBO.NS,394.5,12.96,134.06
GRAVITA.NS,394.0,12.94,141.19
POLYMED.NS,248.5,8.16,41.2
NEWGEN.NS,405.8,13.33,40.48
CREDITACC.NS,334.0,10.97,-43.94
NMDC.NS,227.8,7.48,-73.78
PAISALO.NS,284.1,9.33,-46.15
KEC.NS,58.0,1.91,-42.82
PCBL.NS,167.3,5.5,-30.93
IIFLSEC.NS,110.1,3.62,-31.68
GRANULES.NS,215.4,7.08,-23.96
GPIL.NS,531.2,17.45,-71.21
SYMPHONY.NS,86.0,2.83,-19.24
OFSS.NS,86.0,2.83,-5.29
JBCHEPHARM.NS,394.0,12.94,-4.57
GODFRYPHLP.NS,448.8,14.74,69.93
SHARDAMOTR.NS,340.4,11.18,-57.07
SPLPETRO.NS,303.0,9.95,-9.53
GOKEX.NS,649.3,21.33,-20.98
ASTRAZEN.NS,150.0,4.93,-0.38
AKZOINDIA.NS,91.0,2.99,-1.29
SUVENPHAR.NS,182.0,5.98,-1.62
