Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,8,0.0,0
Sep 2014,2014-09-30,6,12,0.0,0
Oct 2014,2014-10-31,6,14,0.0,0
Nov 2014,2014-11-28,6,14,0.0,0
Dec 2014,2014-12-31,6,14,0.0,0
Jan 2015,2015-01-30,6,15,0.0,0
Feb 2015,2015-02-27,6,16,0.0,0
Mar 2015,2015-03-31,6,16,150.65,1
Apr 2015,2015-04-30,6,16,0.0,0
May 2015,2015-05-29,6,17,311.92,2
Jun 2015,2015-06-30,6,17,1168.24,7
Jul 2015,2015-07-31,6,18,578.12,3
Aug 2015,2015-08-31,6,21,374.63,1
Sep 2015,2015-09-30,6,19,1331.11,5
Oct 2015,2015-10-30,6,19,295.95,1
Nov 2015,2015-11-30,6,19,1366.93,7
Dec 2015,2015-12-31,6,20,231.16,1
Jan 2016,2016-01-29,6,19,407.16,2
Feb 2016,2016-02-29,6,16,841.66,7
Mar 2016,2016-03-31,6,17,232.54,1
Apr 2016,2016-04-29,6,19,208.34,1
May 2016,2016-05-31,6,17,1401.82,6
Jun 2016,2016-06-30,6,16,766.37,2
Jul 2016,2016-07-29,6,18,40.77,1
Aug 2016,2016-08-31,6,20,2033.86,7
Sep 2016,2016-09-30,6,20,0.0,0
Oct 2016,2016-10-28,6,21,2115.98,11
Nov 2016,2016-11-30,6,17,2030.23,16
Dec 2016,2016-12-30,6,17,32.05,1
Jan 2017,2017-01-31,6,17,0.0,0
Feb 2017,2017-02-28,6,17,0.0,0
Mar 2017,2017-03-31,6,17,0.0,0
Apr 2017,2017-04-28,6,17,0.0,0
May 2017,2017-05-31,6,18,2588.77,16
Jun 2017,2017-06-30,6,18,0.0,0
Jul 2017,2017-07-31,6,19,3210.91,13
Aug 2017,2017-08-31,6,18,3081.79,8
Sep 2017,2017-09-29,6,19,2287.44,6
Oct 2017,2017-10-31,6,18,3542.56,12
Nov 2017,2017-11-30,6,20,3746.76,7
Dec 2017,2017-12-29,6,20,3848.74,6
Jan 2018,2018-01-31,6,21,3736.0,5
Feb 2018,2018-02-28,6,21,3563.16,5
Mar 2018,2018-03-28,6,19,3357.76,4
Apr 2018,2018-04-30,6,21,3555.5,9
May 2018,2018-05-31,6,20,3237.63,8
Jun 2018,2018-06-29,6,18,3031.08,6
Jul 2018,2018-07-31,6,16,3067.41,9
Aug 2018,2018-08-31,6,15,3401.71,7
Sep 2018,2018-09-28,6,16,3527.92,6
Oct 2018,2018-10-31,6,18,3708.85,5
Nov 2018,2018-11-30,6,18,3563.67,7
Dec 2018,2018-12-31,6,17,3622.84,6
Jan 2019,2019-01-31,6,17,3630.59,4
Feb 2019,2019-02-28,6,17,3606.41,6
Mar 2019,2019-03-29,6,16,2093.8,3
Apr 2019,2019-04-30,6,17,2956.96,4
May 2019,2019-05-31,6,17,418.22,1
Jun 2019,2019-06-28,6,19,734.23,1
Jul 2019,2019-07-31,6,20,2039.49,6
Aug 2019,2019-08-30,6,20,1296.42,2
Sep 2019,2019-09-30,6,20,3839.44,9
Oct 2019,2019-10-31,6,21,943.24,2
Nov 2019,2019-11-29,6,20,2037.05,3
Dec 2019,2019-12-31,6,20,4072.91,9
Jan 2020,2020-01-31,6,19,4260.87,10
Feb 2020,2020-02-28,6,21,3983.74,11
Mar 2020,2020-03-31,6,20,2899.0,7
Apr 2020,2020-04-30,6,22,2207.47,5
May 2020,2020-05-29,6,21,2865.6,13
Jun 2020,2020-06-30,6,20,144.67,1
Jul 2020,2020-07-30,6,22,3933.65,12
Aug 2020,2020-08-31,6,22,2276.39,7
Sep 2020,2020-09-30,6,22,3047.76,7
Oct 2020,2020-10-30,6,22,0.0,0
Nov 2020,2020-11-27,6,24,556.2,1
Dec 2020,2020-12-31,6,22,2633.48,4
Jan 2021,2021-01-29,6,21,1118.63,1
Feb 2021,2021-02-26,6,23,1000.85,1
Mar 2021,2021-03-31,6,23,0.0,0
Apr 2021,2021-04-30,6,26,669.6,1
May 2021,2021-05-31,6,25,3108.71,3
Jun 2021,2021-06-30,6,23,81.18,2
Jul 2021,2021-07-30,6,25,5200.23,3
Aug 2021,2021-08-31,6,23,3717.19,6
Sep 2021,2021-09-30,6,23,2302.9,3
Oct 2021,2021-10-29,6,23,8592.72,7
Nov 2021,2021-11-30,6,23,8844.32,8
Dec 2021,2021-12-31,6,23,7626.36,11
Jan 2022,2022-01-31,6,24,10273.12,8
Feb 2022,2022-02-28,6,23,243.55,1
Mar 2022,2022-03-31,6,22,9712.38,13
Apr 2022,2022-04-29,6,22,974.79,3
May 2022,2022-05-31,6,22,0.0,0
Jun 2022,2022-06-30,6,22,0.0,0
Jul 2022,2022-07-29,6,22,9313.81,20
Aug 2022,2022-08-30,6,22,1415.72,3
Sep 2022,2022-09-30,6,21,8836.96,15
Oct 2022,2022-10-31,6,21,0.0,0
Nov 2022,2022-11-30,6,21,0.0,0
Dec 2022,2022-12-30,6,25,1196.88,1
Jan 2023,2023-01-31,6,28,6225.35,6
Feb 2023,2023-02-28,6,29,3857.69,3
Mar 2023,2023-03-31,6,29,3550.88,4
Apr 2023,2023-04-28,6,31,9353.29,6
May 2023,2023-05-31,6,30,9863.94,12
Jun 2023,2023-06-30,6,31,10435.45,10
Jul 2023,2023-07-31,6,32,11021.06,7
Aug 2023,2023-08-31,6,34,11941.21,4
Sep 2023,2023-09-29,6,35,11991.4,13
Oct 2023,2023-10-31,6,33,11812.91,10
Nov 2023,2023-11-30,6,33,13388.09,8
Dec 2023,2023-12-29,6,32,14710.01,8
Jan 2024,2024-01-31,6,30,16789.99,11
Feb 2024,2024-02-29,6,31,16350.89,8
Mar 2024,2024-03-28,6,29,8909.94,7
Apr 2024,2024-04-30,6,31,12705.02,7
May 2024,2024-05-31,6,31,17576.01,4
Jun 2024,2024-06-28,6,29,14172.31,6
Jul 2024,2024-07-31,6,29,19984.89,16
Aug 2024,2024-08-30,6,27,21083.78,7
Sep 2024,2024-09-30,6,28,22150.2,14
Oct 2024,2024-10-31,6,26,17457.93,5
Nov 2024,2024-11-29,6,27,8891.09,2
Dec 2024,2024-12-31,6,26,6568.78,2
Jan 2025,2025-01-31,6,25,14604.37,6
Feb 2025,2025-02-28,6,26,14090.19,9
Mar 2025,2025-03-31,6,29,15235.97,10
Apr 2025,2025-04-30,6,27,16821.15,10
May 2025,2025-05-30,6,28,19758.23,6
Jun 2025,2025-06-30,6,27,20311.75,4
Jul 2025,2025-07-31,6,27,19644.42,11
Aug 2025,2025-08-29,6,25,19229.88,8
Sep 2025,2025-09-30,6,26,18312.73,11
