Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,11000.0,1189.95
Aug 2014,2014-08-28,11000.0,1206.11,1017.176074,0.0,0.0,1000.0,0.0,1000.0,10000.0,2176.95
Sep 2014,2014-09-30,10000.0,2372.77,1031.064533,0.0,0.0,1000.0,0.0,1000.0,9000.0,3419.04
Oct 2014,2014-10-31,9000.0,3465.16,1038.763619,0.0,0.0,1000.0,0.0,1000.0,8000.0,4435.33
Nov 2014,2014-11-28,8000.0,4669.6,1055.800353,0.0,0.0,1000.0,0.0,1000.0,7000.0,5751.55
Dec 2014,2014-12-31,7000.0,5866.7,1072.224878,0.0,0.0,1000.0,0.0,1000.0,6000.0,6878.27
Jan 2015,2015-01-30,6000.0,7098.07,1091.506079,0.0,0.0,1000.0,0.0,1000.0,5000.0,8112.39
Feb 2015,2015-02-27,5000.0,8321.5,1110.125147,0.0,0.0,1000.0,0.0,1000.0,4000.0,9299.8
Mar 2015,2015-03-31,4000.0,9409.0,1117.416635,0.0,150.65,1000.0,150.65,1150.65,3000.0,10375.02
Apr 2015,2015-04-30,3000.0,10700.84,1141.736841,0.0,0.0,1000.0,0.0,1000.0,2000.0,11718.59
May 2015,2015-05-29,2000.0,12065.02,1172.084913,0.0,311.92,1000.0,311.92,1311.92,1000.0,13115.54
Jun 2015,2015-06-30,1000.0,13018.84,1168.236539,0.0,1168.24,1000.0,1168.24,2168.24,0.0,13926.98
Jul 2015,2015-07-31,0.0,14999.55,1249.962908,0.0,578.12,0.0,578.12,578.12,0.0,15064.07
Aug 2015,2015-08-31,0.0,16109.63,1342.469055,0.0,374.63,0.0,374.63,374.63,0.0,16070.88
Sep 2015,2015-09-30,0.0,16286.1,1357.174976,0.0,1331.11,0.0,1331.11,1331.11,0.0,16355.13
Oct 2015,2015-10-30,0.0,16978.33,1414.861076,0.0,295.95,0.0,295.95,295.95,0.0,16989.69
Nov 2015,2015-11-30,0.0,16722.75,1393.562135,0.0,1366.93,0.0,1366.93,1366.93,0.0,16733.71
Dec 2015,2015-12-31,0.0,16950.01,1412.500592,0.0,231.16,0.0,231.16,231.16,0.0,16960.17
Jan 2016,2016-01-29,0.0,16022.78,1335.231509,0.0,407.16,0.0,407.16,407.16,0.0,16011.68
Feb 2016,2016-02-29,0.0,14664.4,1222.033409,0.0,841.66,0.0,841.66,841.66,0.0,14605.33
Mar 2016,2016-03-31,0.0,16156.72,1346.393307,0.0,232.54,0.0,232.54,232.54,0.0,16173.73
Apr 2016,2016-04-29,0.0,16716.41,1393.033832,0.0,208.34,0.0,208.34,208.34,0.0,16715.1
May 2016,2016-05-31,0.0,16821.8,1401.816547,0.0,1401.82,0.0,1401.82,1401.82,0.0,16817.98
Jun 2016,2016-06-30,0.0,17288.61,1440.717209,0.0,766.37,0.0,766.37,766.37,0.0,17297.26
Jul 2016,2016-07-29,0.0,19214.11,1601.175793,0.0,40.77,0.0,40.77,40.77,0.0,19216.77
Aug 2016,2016-08-31,0.0,24716.86,2059.738029,0.0,2033.86,0.0,2033.86,2033.86,0.0,25126.25
Sep 2016,2016-09-30,0.0,24575.85,2047.987257,0.0,0.0,0.0,0.0,0.0,0.0,24575.85
Oct 2016,2016-10-28,0.0,25391.7,2115.975145,0.0,2115.98,0.0,2115.98,2115.98,0.0,25494.88
Nov 2016,2016-11-30,0.0,24362.76,2030.230066,0.0,2030.23,0.0,2030.23,2030.23,0.0,24250.99
Dec 2016,2016-12-30,0.0,24712.58,2059.381371,0.0,32.05,0.0,32.05,32.05,0.0,24712.84
Jan 2017,2017-01-31,0.0,25822.05,2151.83776,0.0,0.0,0.0,0.0,0.0,0.0,25822.05
Feb 2017,2017-02-28,0.0,28131.71,2344.309538,0.0,0.0,0.0,0.0,0.0,0.0,28131.71
