Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11000.0,1189.95,0
Aug 2014,2014-08-28,11000.0,1206.11,1017.176074,0.0,1000.0,0.0,1000.0,10000.0,2176.95,0
Sep 2014,2014-09-30,10000.0,2372.77,1031.064533,0.0,1000.0,0.0,1000.0,9000.0,3419.04,0
Oct 2014,2014-10-31,9000.0,3465.16,1038.763619,0.0,1000.0,0.0,1000.0,8000.0,4435.33,0
Nov 2014,2014-11-28,8000.0,4669.6,1055.800353,0.0,1000.0,0.0,1000.0,7000.0,5751.55,0
Dec 2014,2014-12-31,7000.0,5866.7,1072.224878,0.0,1000.0,0.0,1000.0,6000.0,6878.27,0
Jan 2015,2015-01-30,6000.0,7098.07,1091.506079,0.0,1000.0,0.0,1000.0,5000.0,8112.39,0
Feb 2015,2015-02-27,5000.0,8321.5,1110.125147,0.0,1000.0,0.0,1000.0,4000.0,9299.8,0
Mar 2015,2015-03-31,4000.0,9409.0,1117.416635,150.65,1000.0,150.65,1150.65,3000.0,10375.02,1
Apr 2015,2015-04-30,3000.0,10700.84,1141.736841,0.0,1000.0,0.0,1000.0,2000.0,11718.59,0
May 2015,2015-05-29,2000.0,12065.02,1172.084913,311.92,1000.0,311.92,1311.92,1000.0,13115.54,2
Jun 2015,2015-06-30,1000.0,13018.84,1168.236539,1168.24,1000.0,1168.24,2168.24,0.0,13926.98,7
Jul 2015,2015-07-31,0.0,15001.91,1250.1594,580.48,0.0,580.48,580.48,0.0,15066.69,3
Aug 2015,2015-08-31,0.0,16112.44,1342.703439,374.63,0.0,374.63,374.63,0.0,16073.7,1
Sep 2015,2015-09-30,0.0,16288.96,1357.413395,1331.11,0.0,1331.11,1331.11,0.0,16357.99,5
Oct 2015,2015-10-30,0.0,16981.31,1415.109579,295.95,0.0,295.95,295.95,0.0,16992.67,1
Nov 2015,2015-11-30,0.0,16725.76,1393.813448,1366.93,0.0,1366.93,1366.93,0.0,16736.72,7
Dec 2015,2015-12-31,0.0,16953.05,1412.754541,231.16,0.0,231.16,231.16,0.0,16963.21,1
Jan 2016,2016-01-29,0.0,16025.69,1335.474014,407.16,0.0,407.16,407.16,0.0,16014.59,2
Feb 2016,2016-02-29,0.0,14667.08,1222.256991,841.66,0.0,841.66,841.66,0.0,14608.01,7
Mar 2016,2016-03-31,0.0,16159.71,1346.642723,232.54,0.0,232.54,232.54,0.0,16176.72,1
Apr 2016,2016-04-29,0.0,16719.45,1393.287483,208.34,0.0,208.34,208.34,0.0,16718.14,1
May 2016,2016-05-31,0.0,16824.89,1402.073761,1402.07,0.0,1402.07,1402.07,0.0,16821.06,6
Jun 2016,2016-06-30,0.0,17272.87,1439.405494,747.24,0.0,747.24,747.24,0.0,17281.3,2
Jul 2016,2016-07-29,0.0,19196.91,1599.742201,40.77,0.0,40.77,40.77,0.0,19199.57,1
Aug 2016,2016-08-31,0.0,24696.99,2058.082706,2034.37,0.0,2034.37,2034.37,0.0,25106.49,7
Sep 2016,2016-09-30,0.0,24556.37,2046.364581,0.0,0.0,0.0,0.0,0.0,24556.37,0
Oct 2016,2016-10-28,0.0,25371.74,2114.311514,2114.31,0.0,2114.31,2114.31,0.0,25474.83,11
Nov 2016,2016-11-30,0.0,24343.76,2028.64697,2028.65,0.0,2028.65,2028.65,0.0,24232.08,4
Dec 2016,2016-12-30,0.0,24659.95,2054.995588,301.0,0.0,301.0,301.0,0.0,24662.4,3
Jan 2017,2017-01-31,0.0,25873.56,2156.130135,775.34,0.0,775.34,775.34,0.0,25947.93,8
Feb 2017,2017-02-28,0.0,28161.64,2346.802952,0.0,0.0,0.0,0.0,0.0,28161.64,0
Mar 2017,2017-03-31,0.0,29452.4,2454.366893,0.0,0.0,0.0,0.0,0.0,29452.4,0
Apr 2017,2017-04-28,0.0,30842.47,2570.205964,0.0,0.0,0.0,0.0,0.0,30842.47,0
May 2017,2017-05-31,0.0,31132.4,2594.366876,2594.37,0.0,2594.37,2594.37,0.0,31405.46,6
Jun 2017,2017-06-30,0.0,33624.73,2802.060595,0.0,0.0,0.0,0.0,0.0,33624.73,0
Jul 2017,2017-07-31,0.0,37539.01,3128.250434,3128.25,0.0,3128.25,3128.25,0.0,37690.03,11
Aug 2017,2017-08-31,0.0,36614.05,3051.171,3051.17,0.0,3051.17,3051.17,0.0,36531.28,12
Sep 2017,2017-09-29,0.0,37621.41,3135.117211,2255.96,0.0,2255.96,2255.96,0.0,37643.57,4
Oct 2017,2017-10-31,0.0,41465.67,3455.472776,3455.47,0.0,3455.47,3455.47,0.0,41891.03,4
Nov 2017,2017-11-30,0.0,43944.24,3662.019894,3662.02,0.0,3662.02,3662.02,0.0,44086.84,3
Dec 2017,2017-12-29,0.0,46001.92,3833.492917,3833.49,0.0,3833.49,3833.49,0.0,46134.3,7
Jan 2018,2018-01-31,0.0,43921.61,3660.134334,3660.13,0.0,3660.13,3660.13,0.0,43728.43,12
Feb 2018,2018-02-28,0.0,40493.24,3374.436625,3374.44,0.0,3374.44,3374.44,0.0,40285.94,7
Mar 2018,2018-03-28,0.0,39154.56,3262.879724,2703.85,0.0,2703.85,2703.85,0.0,39037.25,8
Apr 2018,2018-04-30,0.0,41210.31,3434.19244,3434.19,0.0,3434.19,3434.19,0.0,41574.92,18
May 2018,2018-05-31,0.0,36572.79,3047.732195,3047.73,0.0,3047.73,3047.73,0.0,36322.41,11
Jun 2018,2018-06-29,0.0,34771.0,2897.58373,2897.58,0.0,2897.58,2897.58,0.0,34712.86,10
Jul 2018,2018-07-31,0.0,36157.83,3013.152302,3013.15,0.0,3013.15,3013.15,0.0,36350.72,8
Aug 2018,2018-08-31,0.0,39645.58,3303.798315,3303.8,0.0,3303.8,3303.8,0.0,39845.34,8
Sep 2018,2018-09-28,0.0,35287.76,2940.64629,2940.65,0.0,2940.65,2940.65,0.0,35244.57,6
Oct 2018,2018-10-31,0.0,36219.85,3018.320965,1567.63,0.0,1567.63,1567.63,0.0,36073.39,5
Nov 2018,2018-11-30,0.0,34551.04,2879.253629,2879.25,0.0,2879.25,2879.25,0.0,34545.11,5
Dec 2018,2018-12-31,0.0,34992.6,2916.049878,2287.46,0.0,2287.46,2287.46,0.0,34981.15,4
Jan 2019,2019-01-31,0.0,34995.46,2916.288277,0.0,0.0,0.0,0.0,0.0,34995.46,0
Feb 2019,2019-02-28,0.0,34927.19,2910.599129,0.0,0.0,0.0,0.0,0.0,34927.19,0
Mar 2019,2019-03-29,0.0,36866.52,3072.210189,1238.72,0.0,1238.72,1238.72,0.0,36886.25,2
Apr 2019,2019-04-30,0.0,37622.59,3135.215944,2871.99,0.0,2871.99,2871.99,0.0,37729.75,4
May 2019,2019-05-31,0.0,37113.91,3092.826137,1072.54,0.0,1072.54,1072.54,0.0,37127.72,2
Jun 2019,2019-06-28,0.0,36118.9,3009.908248,701.89,0.0,701.89,701.89,0.0,36101.91,1
Jul 2019,2019-07-31,0.0,33890.38,2824.19809,1974.27,0.0,1974.27,1974.27,0.0,33824.28,6
Aug 2019,2019-08-30,0.0,35112.81,2926.067557,1259.1,0.0,1259.1,1259.1,0.0,35104.69,2
Sep 2019,2019-09-30,0.0,36566.39,3047.199289,3047.2,0.0,3047.2,3047.2,0.0,36837.3,7
Oct 2019,2019-10-31,0.0,38292.12,3191.010178,269.63,0.0,269.63,269.63,0.0,38305.51,2
Nov 2019,2019-11-29,0.0,38887.5,3240.624828,1835.3,0.0,1835.3,1835.3,0.0,38919.75,4
Dec 2019,2019-12-31,0.0,39787.8,3315.650059,3315.65,0.0,3315.65,3315.65,0.0,39776.61,8
Jan 2020,2020-01-31,0.0,41479.5,3456.624879,3456.62,0.0,3456.62,3456.62,0.0,41661.64,8
Feb 2020,2020-02-28,0.0,38753.9,3229.49138,3229.49,0.0,3229.49,3229.49,0.0,38658.82,7
Mar 2020,2020-03-31,0.0,28363.94,2363.661561,2363.66,0.0,2363.66,2363.66,0.0,27882.08,9
Apr 2020,2020-04-30,0.0,31406.64,2617.220046,2105.97,0.0,2105.97,2105.97,0.0,31929.21,6
May 2020,2020-05-29,0.0,31327.22,2610.601439,2610.6,0.0,2610.6,2610.6,0.0,31421.36,14
Jun 2020,2020-06-30,0.0,33692.6,2807.716991,348.8,0.0,348.8,348.8,0.0,33696.95,2
Jul 2020,2020-07-30,0.0,39166.54,3263.878469,3263.88,0.0,3263.88,3263.88,0.0,39508.78,10
Aug 2020,2020-08-31,0.0,42153.73,3512.810497,2781.03,0.0,2781.03,2781.03,0.0,42332.46,10
Sep 2020,2020-09-30,0.0,43387.21,3615.600783,2423.19,0.0,2423.19,2423.19,0.0,43604.7,7
Oct 2020,2020-10-30,0.0,43534.05,3627.837307,71.4,0.0,71.4,71.4,0.0,43529.35,1
Nov 2020,2020-11-27,0.0,47153.79,3929.482643,501.11,0.0,501.11,501.11,0.0,47208.42,1
Dec 2020,2020-12-31,0.0,49907.55,4158.962664,1596.43,0.0,1596.43,1596.43,0.0,49985.29,3
Jan 2021,2021-01-29,0.0,50038.39,4169.865625,907.48,0.0,907.48,907.48,0.0,50038.63,1
Feb 2021,2021-02-26,0.0,50717.44,4226.453402,811.36,0.0,811.36,811.36,0.0,50724.45,1
Mar 2021,2021-03-31,0.0,52287.98,4357.33176,0.0,0.0,0.0,0.0,0.0,52287.98,0
Apr 2021,2021-04-30,0.0,57111.95,4759.32949,638.81,0.0,638.81,638.81,0.0,57152.05,1
May 2021,2021-05-31,0.0,62423.58,5201.965316,2832.08,0.0,2832.08,2832.08,0.0,62599.49,3
Jun 2021,2021-06-30,0.0,65906.81,5492.234508,195.72,0.0,195.72,195.72,0.0,65919.99,2
Jul 2021,2021-07-30,0.0,82096.62,6841.384982,4303.3,0.0,4303.3,4303.3,0.0,83025.71,3
Aug 2021,2021-08-31,0.0,83941.51,6995.125931,3955.33,0.0,3955.33,3955.33,0.0,83797.47,6
Sep 2021,2021-09-30,0.0,85153.08,7096.089792,1854.71,0.0,1854.71,1854.71,0.0,85256.13,3
Oct 2021,2021-10-29,0.0,85215.54,7101.294625,7101.29,0.0,7101.29,7101.29,0.0,85038.57,6
Nov 2021,2021-11-30,0.0,87871.32,7322.609816,7322.61,0.0,7322.61,7322.61,0.0,89555.52,6
Dec 2021,2021-12-31,0.0,111718.38,9309.865257,8104.17,0.0,8104.17,8104.17,0.0,115225.43,15
Jan 2022,2022-01-31,0.0,103526.24,8627.186806,8627.19,0.0,8627.19,8627.19,0.0,102917.0,8
Feb 2022,2022-02-28,0.0,87580.26,7298.355186,197.44,0.0,197.44,197.44,0.0,87550.23,1
Mar 2022,2022-03-31,0.0,106232.78,8852.731489,5196.16,0.0,5196.16,5196.16,0.0,107347.97,13
Apr 2022,2022-04-29,0.0,105897.33,8824.777273,6560.43,0.0,6560.43,6560.43,0.0,105767.66,9
May 2022,2022-05-31,0.0,93425.2,7785.433426,0.0,0.0,0.0,0.0,0.0,93425.2,0
Jun 2022,2022-06-30,0.0,88878.33,7406.527328,0.0,0.0,0.0,0.0,0.0,88878.33,0
Jul 2022,2022-07-29,0.0,94482.17,7873.514303,7873.51,0.0,7873.51,7873.51,0.0,94486.77,22
Aug 2022,2022-08-30,0.0,93704.17,7808.680468,1812.35,0.0,1812.35,1812.35,0.0,93526.81,3
Sep 2022,2022-09-30,0.0,89237.72,7436.476541,7436.48,0.0,7436.48,7436.48,0.0,89333.53,7
Oct 2022,2022-10-31,0.0,88571.94,7380.995101,2031.45,0.0,2031.45,2031.45,0.0,88472.86,5
Nov 2022,2022-11-30,0.0,90937.39,7578.116216,0.0,0.0,0.0,0.0,0.0,90937.39,0
Dec 2022,2022-12-30,0.0,87246.61,7270.550542,1007.2,0.0,1007.2,1007.2,0.0,87263.71,1
Jan 2023,2023-01-31,0.0,88543.24,7378.60315,6745.44,0.0,6745.44,6745.44,0.0,88442.99,7
Feb 2023,2023-02-28,0.0,83400.31,6950.026246,2827.85,0.0,2827.85,2827.85,0.0,83370.17,3
Mar 2023,2023-03-31,0.0,82111.17,6842.597424,2115.89,0.0,2115.89,2115.89,0.0,82001.19,4
Apr 2023,2023-04-28,0.0,89346.64,7445.553427,4150.41,0.0,4150.41,4150.41,0.0,89640.4,4
May 2023,2023-05-31,0.0,92956.13,7746.34417,7746.34,0.0,7746.34,7746.34,0.0,93068.89,8
Jun 2023,2023-06-30,0.0,98231.74,8185.978291,8185.98,0.0,8185.98,8185.98,0.0,98645.03,8
Jul 2023,2023-07-31,0.0,102888.88,8574.073208,8574.07,0.0,8574.07,8574.07,0.0,104036.92,4
Aug 2023,2023-08-31,0.0,112044.51,9337.042815,9337.04,0.0,9337.04,9337.04,0.0,111368.44,13
Sep 2023,2023-09-29,0.0,113351.84,9445.9866,9445.99,0.0,9445.99,9445.99,0.0,113399.97,8
Oct 2023,2023-10-31,0.0,110464.18,9205.348594,9205.35,0.0,9205.35,9205.35,0.0,110987.17,12
Nov 2023,2023-11-30,0.0,122813.9,10234.49159,10234.49,0.0,10234.49,10234.49,0.0,123949.82,9
Dec 2023,2023-12-29,0.0,135649.71,11304.142776,11304.14,0.0,11304.14,11304.14,0.0,137382.62,7
Jan 2024,2024-01-31,0.0,158863.04,13238.586603,13238.59,0.0,13238.59,13238.59,0.0,159408.19,14
Feb 2024,2024-02-29,0.0,154935.45,12911.287406,11030.29,0.0,11030.29,11030.29,0.0,154636.99,11
Mar 2024,2024-03-28,0.0,143543.9,11961.991335,8101.44,0.0,8101.44,8101.44,0.0,143570.19,11
Apr 2024,2024-04-30,0.0,160216.44,13351.370267,9911.85,0.0,9911.85,9911.85,0.0,161281.79,8
May 2024,2024-05-31,0.0,163490.33,13624.194147,13624.19,0.0,13624.19,13624.19,0.0,164026.98,4
Jun 2024,2024-06-28,0.0,177567.31,14797.27598,8164.2,0.0,8164.2,8164.2,0.0,178065.35,3
Jul 2024,2024-07-31,0.0,188625.43,15718.785893,15718.79,0.0,15718.79,15718.79,0.0,188657.81,22
Aug 2024,2024-08-30,0.0,200342.22,16695.185348,16695.19,0.0,16695.19,16695.19,0.0,202216.91,6
Sep 2024,2024-09-30,0.0,216277.12,18023.09298,18023.09,0.0,18023.09,18023.09,0.0,216059.15,6
Oct 2024,2024-10-31,0.0,208076.95,17339.745769,17339.75,0.0,17339.75,17339.75,0.0,206216.18,6
Nov 2024,2024-11-29,0.0,219997.77,18333.147164,14249.29,0.0,14249.29,14249.29,0.0,219457.77,4
Dec 2024,2024-12-31,0.0,196527.2,16377.266254,4904.47,0.0,4904.47,4904.47,0.0,195907.6,2
Jan 2025,2025-01-31,0.0,162647.81,13553.98414,11383.82,0.0,11383.82,11383.82,0.0,160594.45,6
Feb 2025,2025-02-28,0.0,138747.39,11562.282643,11562.28,0.0,11562.28,11562.28,0.0,137972.04,6
Mar 2025,2025-03-31,0.0,149617.21,12468.100818,12468.1,0.0,12468.1,12468.1,0.0,151764.83,9
Apr 2025,2025-04-30,0.0,161762.04,13480.169687,13480.17,0.0,13480.17,13480.17,0.0,162253.63,9
May 2025,2025-05-30,0.0,187347.02,15612.251902,15612.25,0.0,15612.25,15612.25,0.0,187609.04,7
Jun 2025,2025-06-30,0.0,192267.18,16022.264982,16022.26,0.0,16022.26,16022.26,0.0,191861.68,10
Jul 2025,2025-07-31,0.0,185273.36,15439.446349,15439.45,0.0,15439.45,15439.45,0.0,186241.19,7
Aug 2025,2025-08-29,0.0,181691.41,15140.950981,15140.95,0.0,15140.95,15140.95,0.0,180846.79,6
Sep 2025,2025-09-30,0.0,184915.94,15409.662056,15409.66,0.0,15409.66,15409.66,0.0,185985.9,12
