Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jul 2014,VSTIND.NS,166.67,270.48,1189.96,22.73
Aug 2014,VSTIND.NS,333.33,436.54,2176.95,20.053
Sep 2014,AJANTPHARM.NS,500.0,526.68,3419.04,15.404
Oct 2014,BALKRISIND.NS,666.67,680.44,4435.33,15.341
Nov 2014,AJANTPHARM.NS,666.67,924.96,5751.56,16.082
Dec 2014,AJANTPHARM.NS,833.33,1072.13,6878.25,15.587
Jan 2015,AJANTPHARM.NS,1000.0,1357.56,8112.429999999999,16.734
Feb 2015,AJANTPHARM.NS,1166.67,1627.55,9299.789999999999,17.501
Mar 2015,AJANTPHARM.NS,1358.44,2035.18,10375.01,19.616
Apr 2015,AJANTPHARM.NS,1525.11,2263.56,11718.59,19.316
May 2015,AJANTPHARM.NS,1743.76,3091.41,13115.54,23.571
Jun 2015,AJANTPHARM.NS,1743.76,3082.45,13926.98,22.133
Jul 2015,AJANTPHARM.NS,1577.1,2671.11,15066.710000000001,17.729
Aug 2015,VSTIND.NS,1816.56,3045.44,16073.68,18.947
Sep 2015,VSTIND.NS,2038.41,3512.96,16358.0,21.475
Oct 2015,VSTIND.NS,2087.74,3559.75,16992.68,20.949
Nov 2015,VSTIND.NS,2315.56,3990.38,16736.72,23.842
Dec 2015,VSTIND.NS,2354.09,4049.1,16963.23,23.87
Jan 2016,VSTIND.NS,2421.95,4114.22,16014.59,25.69
Feb 2016,VSTIND.NS,2562.22,3792.45,14608.0,25.961
Mar 2016,VSTIND.NS,2600.98,4190.45,16176.72,25.904
Apr 2016,VSTIND.NS,2635.7,4170.88,16718.14,24.948
May 2016,VSTIND.NS,2869.38,4465.13,16821.07,26.545
Jun 2016,VSTIND.NS,2993.92,4702.22,17281.3,27.21
Jul 2016,VSTIND.NS,3000.72,5642.95,19199.57,29.391
Aug 2016,VSTIND.NS,3339.78,10810.2,25106.510000000002,43.057
Sep 2016,VSTIND.NS,3339.78,10576.68,24556.35,43.071
Oct 2016,VSTIND.NS,3692.17,11422.58,25474.82,44.839
Nov 2016,VSTIND.NS,3446.11,9292.87,24232.09,38.349
Dec 2016,VSTIND.NS,3496.28,10076.97,24662.4,40.86
Jan 2017,VSTIND.NS,3625.5,10197.54,25947.93,39.3
Feb 2017,VSTIND.NS,3625.5,11416.69,28161.65,40.54
Mar 2017,VSTIND.NS,3625.5,12172.46,29452.41,41.329
Apr 2017,VSTIND.NS,3625.5,12935.22,30842.46,41.94
May 2017,VSTIND.NS,3255.61,11310.38,31405.45,36.014
Jun 2017,VSTIND.NS,3255.61,13003.38,33624.71,38.672
Jul 2017,VSTIND.NS,3776.99,15510.37,37690.04,41.152
Aug 2017,VSTIND.NS,4285.52,14075.51,36531.28,38.53
Sep 2017,VSTIND.NS,4661.51,15134.78,37643.56,40.205
Oct 2017,VSTIND.NS,4128.08,13261.1,41891.03,31.656
